Geneid	A-Ctrl1	A-Ctrl2	A-Ctrl3	B-Ctrl1	B-Ctrl2	B-Ctrl3	A-ADR1	A-ADR2	A-ADR3	B-ADR1	B-ADR2	B-ADR3
0610005C13Rik	1030	448	1602	190	867	699	2763	687	710	136	348	862
0610009B22Rik	632	508	555	505	432	537	866	476	431	379	469	542
0610009E02Rik	7	27	20	7	25	15	34	15	13	18	14	23
0610009L18Rik	172	123	102	112	76	132	147	127	116	102	66	73
0610010F05Rik	1227	1266	1051	1350	1166	1429	1179	1129	1235	1259	1675	1445
0610010K14Rik	1213	1134	1185	1288	1156	1385	1954	1142	1294	1582	1281	1253
0610012G03Rik	1266	1112	1366	1044	1044	1405	1871	1072	1100	1092	930	1055
0610030E20Rik	2394	3286	2981	2889	3431	3309	2368	3137	3157	2160	2205	2401
0610031O16Rik	22	0	10	0	27	11	12	0	2	0	4	4
0610038B21Rik	28	21	12	11	7	5	6	7	15	4	1	9
0610039H22Rik	14	5	18	10	4	7	73	34	12	6	4	6
0610039K10Rik	12	7	16	15	12	22	8	16	44	26	20	22
0610040B10Rik	6	10	20	16	13	22	59	16	36	32	32	12
0610040F04Rik	14	1	4	2	8	7	6	8	20	6	6	5
0610040J01Rik	416	397	715	303	450	608	1078	511	453	184	330	366
0610043K17Rik	34	31	44	36	46	40	104	52	40	34	22	48
1110002E22Rik	10	10	20	24	2	6	2	14	28	8	26	16
1110002J07Rik	4	6	2	2	8	4	8	4	14	14	17	9
1110002L01Rik	76	108	143	106	168	127	68	159	114	110	89	86
1110004F10Rik	3007	2623	2786	2912	2814	3294	3382	2639	3172	3361	3031	3266
1110006O24Rik	34	31	52	42	32	22	66	30	22	39	32	40
1110008P14Rik	762	713	669	648	580	735	864	550	597	623	471	545
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	10	17	39	29	28	39	37	31	31	22	50	15
1110019D14Rik	162	113	160	100	112	118	137	168	48	91	94	74
1110020A21Rik	24	57	46	16	35	54	66	48	19	36	31	31
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	6	0	0	0	2	0	0	8	2	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	2	0	0
1110032A03Rik	764	845	788	889	738	848	1013	675	752	651	696	693
1110032F04Rik	2	2	10	0	0	4	10	0	0	2	0	4
1110036E04Rik	0	0	2	0	0	0	1	0	0	0	0	0
1110038B12Rik	219	169	219	356	192	241	392	189	272	343	297	237
1110038F14Rik	1160	1202	1194	1229	1249	1456	1499	1198	1296	1159	1100	1271
1110046J04Rik	84	97	42	68	77	65	63	66	67	95	110	76
1110051M20Rik	783	857	820	854	821	930	606	835	733	791	505	586
