gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
Inka2	1411.0499544287	3.61749040273104	0.222964506634177	16.224512400381	3.38394145108406e-59	6.26536759668214e-55
Cdkn1a	13418.534953313	3.93244778214921	0.290656928707548	13.5295167386357	1.04709720492136e-41	9.69350237455948e-38
Psrc1	444.890378500348	4.18115236765475	0.349644914400908	11.9582816607496	5.87653772163127e-33	3.6268031972001e-29
Ccng1	13115.8494948174	1.67363620828154	0.143982722945572	11.6238682950468	3.11696544249301e-31	1.44276537919395e-27
Eda2r	819.41657299321	4.22520137587997	0.365934601385531	11.5463292071375	7.70411589209127e-31	2.8528341148414e-27
Phlda3	5533.99426845971	2.51245098432498	0.251679463399227	9.98274134246544	1.8138491317276e-23	5.59723611232277e-20
Ly6c2	1598.42298705613	1.81759048841296	0.193718043696694	9.38265973436514	6.43291065684124e-21	1.70150486873451e-17
Arhgap20	429.77398914293	4.00572604589256	0.427661111560255	9.36658942703088	7.4914133384734e-21	1.73379397452294e-17
Ly6c1	14841.0041478976	1.71605113784238	0.197683036563758	8.68082141832594	3.92920673782311e-18	8.08325141675499e-15
Gtse1	231.427226083492	3.032643624755	0.371133696580762	8.1712969010753	3.05091776082907e-16	5.64877423417502e-13
Nell2	2341.22758060917	1.47711056608876	0.184063140665188	8.025020983292	1.01508591108695e-15	1.70857414943408e-12
Serpina3h	2580.46932078815	2.46574839793861	0.312756828690734	7.88391546320749	3.172789743637e-15	4.89535017528659e-12
Cox6b2	559.000408972325	2.07605500949558	0.265779967267081	7.8111794159767	5.66552971201895e-15	8.06902173984852e-12
Tmem178	1154.6550007869	1.86728333028767	0.24035553738635	7.76883840743882	7.920913993695e-15	1.04754087566616e-11
Zfp365	375.781171213753	2.88169292764507	0.377898620923517	7.62557143130802	2.42955732849192e-14	2.99888359580185e-11
Clca3a1	309.148666089636	3.42975020668147	0.450474544882801	7.6136382080674	2.6648608000928e-14	3.08374360710738e-11
Lpar1	123.44464381429	3.2172698410197	0.429769896805785	7.48602883759818	7.09888043439991e-14	7.73151595546554e-11
Alas2	195.261956986361	-3.46562573113456	0.463628551950965	-7.47500497230183	7.72009350299418e-14	7.94097395599651e-11
Aen	2014.28888027101	1.72261612564845	0.235784429513142	7.30589432561509	2.75428579075829e-13	2.68397902188893e-10
Serpina3i	332.154068006691	2.54921005217954	0.355049713804353	7.17986792571889	6.97787945631394e-13	6.45977190668263e-10
Maff	1306.23895712301	2.64261155395792	0.379281952182531	6.96740653951853	3.22836775011329e-12	2.84634423301655e-09
Angptl4	2708.23122759689	2.51767054572567	0.372329589025777	6.76194054926793	1.36155577204919e-11	1.14587295997685e-08
Bbc3	758.739532597109	1.72780784835268	0.260295591717964	6.63786826718448	3.18252085517597e-11	2.56192928841665e-08
Mybl1	550.730429262463	1.52562333380758	0.230272789121401	6.62528707637817	3.46573967084811e-11	2.6736737502397e-08
Slc43a3	12020.3634672418	0.790258012299897	0.119489211729128	6.61363482831692	3.7499613132096e-11	2.77722134856303e-08
Trp53cor1	36.3314434297978	5.47828269631685	0.846126685445052	6.47454192209449	9.51000057959317e-11	6.77221772042952e-08
Gpr182	3047.63398220234	0.982823214607029	0.154179300331873	6.37454711813773	1.83504394326943e-10	1.25836439294939e-07
Celf5	131.879842597815	3.72989926352441	0.587261175373947	6.35134658978493	2.1343820480156e-10	1.41136012925032e-07
Ttll9	45.3462502835347	2.96121308382935	0.481181696953712	6.15404347791351	7.55319627670386e-10	4.82232514010938e-07
Slc22a7	89.0127995809923	-4.4360151672394	0.733147692034053	-6.05064329525756	1.44268571204829e-09	8.9037753195247e-07
Serpina3n	139.254079001693	4.14451215657834	0.690457771858603	6.00255703606894	1.94233996655627e-09	1.16007820905772e-06
Dlk2	565.016423630521	2.01168570410327	0.342567726447386	5.8723736907897	4.2959900366915e-09	2.42854827090788e-06
Ddias	122.269998264604	2.72864007770782	0.46475597064113	5.87112431055736	4.32849543289009e-09	2.42854827090788e-06
Exoc4	3835.20379300144	0.893898411340029	0.152873436192392	5.84731025614582	4.99585185002619e-09	2.7205352059775e-06
Zmat3	2511.05193142839	1.11121139779781	0.190285654439595	5.83970137460131	5.22944724189598e-09	2.76637759096297e-06
Lrg1	434.570910307177	2.55592450458234	0.440002618331419	5.80888476135649	6.28903569890866e-09	3.23448599903594e-06
Tnfrsf12a	3605.93207455608	2.12281124941502	0.366242343439133	5.79619284182475	6.78372555240236e-09	3.39461293520891e-06
Map3k6	2770.81706717456	1.32393948383209	0.230514262116579	5.74341679198369	9.27849676121216e-09	4.52082546141692e-06
1700007K13Rik	38.4343171812612	4.15383807431781	0.728835008172352	5.69928451260059	1.20311292848908e-08	5.71170150537831e-06
Trp53inp1	6847.57854513954	1.18769058160927	0.209275490325646	5.67524930779591	1.38486816226735e-08	6.41020850609499e-06
Slc19a2	1035.22318037863	1.55275484000216	0.275665969562925	5.63274038672273	1.7736836100209e-08	8.00969561939927e-06
Ifi202b	375.574160718802	1.67091790483984	0.300487875758629	5.56068327422976	2.68720488106572e-08	1.18460948506981e-05
Cxcl10	548.533848639558	3.99326089939778	0.721720993711937	5.53297040572388	3.14852610835343e-08	1.35569676502706e-05
Ifit3	1473.93178359711	1.30358877909641	0.236727025786769	5.50671717673085	3.65586882801639e-08	1.53837298524372e-05
Serpina3f	208.794185097422	2.98669027181798	0.546139985390263	5.46872661170147	4.53280269781535e-08	1.86499648777892e-05
Top1mt	5853.90001273067	-1.44321484871425	0.266092021255295	-5.42374341743076	5.83636434336484e-08	2.34913664820435e-05
Sec14l5	21.1309930598389	3.98374374835811	0.753725312807131	5.28540528050104	1.25426758974668e-07	4.94101370726803e-05
Gda	1754.25463794559	1.55703519267404	0.295597877935112	5.26740991359835	1.38362021335124e-07	5.33702671879131e-05
Galnt15	130.083881227361	2.0333988414738	0.388531133737024	5.23355444367064	1.66280998687555e-07	6.28304630755117e-05
Irf7	2068.25586679938	1.6058565786119	0.308145968966325	5.21135027012924	1.87471114372699e-07	6.94205536522103e-05
Lrrtm2	57.8520636012148	2.87524491433199	0.552858777941145	5.20068601431896	1.98554287388681e-07	7.20829927647337e-05
Prrg4	238.422421766195	2.10772813848831	0.411934343928264	5.11666038424648	3.10992850344602e-07	0.00011073139661789
Fam107a	2158.70986155377	1.66697205161659	0.327570916252277	5.0888890585536	3.60167230875413e-07	0.000125820684521854
Kirrel2	1983.04109334096	0.982705645051133	0.194369289758871	5.05586888890859	4.28435610191656e-07	0.000146897876346269
Chrm3	998.205601673444	-1.57694504739197	0.312818965543019	-5.04107877428267	4.62914849808704e-07	0.000155833971712876
Pcdh15	13.3714256568312	7.35660398015232	1.46092341928364	5.03558494788152	4.76391800758039e-07	0.000157507039125627
Aldh1a1	732.752355918362	2.14296174212975	0.427035161297292	5.01823253996142	5.21490310167116e-07	0.000167880913445069
