gene	baseMean	log2FC_interaction	lfcSE	stat	pvalue	padj
Col5a3	972.465231004604	2.90714374155375	0.475735256851833	6.11084358302915	9.91058652790278e-10	1.38173397372021e-05
Glipr2	425.347544739124	1.50968358568148	0.289867187918863	5.20819067698015	1.9069091407911e-07	0.00132930636204548
Lgals1	2295.17051837506	1.49707378145248	0.316295036980216	4.73315609294914	2.21055357471712e-06	0.00915106291781287
Mrps18b	510.136781084747	0.937006633207692	0.201036601622716	4.66087580890451	3.14866678189084e-06	0.00915106291781287
H2-Q6	169.706709876779	3.44269872763599	0.744941165859492	4.62143708176457	3.81090916200197e-06	0.00915106291781287
Tpm4	23382.6404913177	0.864167930294139	0.187267510846119	4.61461748698226	3.9381995055858e-06	0.00915106291781287
Galnt15	130.083881227361	-2.35418030689405	0.517895735025546	-4.54566459555401	5.47621825376603e-06	0.0109070621277151
Pno1	1010.53822573886	1.06686745543436	0.236541354272812	4.5102787997227	6.4742480033747e-06	0.0112829957078813
Polr1e	311.28282853446	1.07700090783991	0.247724629221647	4.34757299354472	1.37652266227158e-05	0.0213238655082115
Psrc1	444.890378500348	2.14117347943606	0.4991326633465	4.28978834019855	1.78843481576386e-05	0.0246237698587858
Cald1	37233.2610075451	0.72933938109561	0.171703016369275	4.24767949053991	2.15996100963569e-05	0.0246237698587858
Asns	189.651462948687	1.34068699650618	0.316948356141891	4.22998564443094	2.33706225401506e-05	0.0246237698587858
Shisa4	344.585489081279	1.20805406773942	0.286358237279617	4.21868104516862	2.45735608708674e-05	0.0246237698587858
9530026P05Rik	282.178189403334	-1.08690571930048	0.257726447311947	-4.21728437510688	2.47262070020802e-05	0.0246237698587858
Znrf3	1157.09299031876	-0.856088781605953	0.203927902216556	-4.19799729365554	2.69285848996183e-05	0.0250292220446986
Dusp15	1124.09258882773	-1.39039994905271	0.332544386489124	-4.18109583424942	2.90107550613664e-05	0.0252792466915982
Ankrd44	9065.98183358428	-0.735431833951922	0.177724658705334	-4.138040490888	3.50284564154597e-05	0.0285645290785971
Ube2ql1	964.603143486209	-1.71723079528609	0.417349579076921	-4.11461010475725	3.87834402724896e-05	0.0285645290785971
Tpm2	2772.85678553454	0.804637439387274	0.195596818904017	4.11375524354578	3.89274173356294e-05	0.0285645290785971
Aifm3	3080.89446434501	-1.65725772229813	0.408409472449365	-4.05783370390264	4.95300152178806e-05	0.0345273736083846
Thsd7a	28261.3921094357	-1.80540687168787	0.4461911788194	-4.04626303116275	5.20417549557885e-05	0.0345507689330287
Tagln2	17617.8021757164	0.678712925704131	0.168585824669134	4.02591930274191	5.67531511689133e-05	0.0359660197089541
Fhl3	722.895239894726	0.893009594196395	0.226499339135854	3.94265871857917	8.05832865621159e-05	0.0488474861412617
C330020E22Rik	6267.6815034541	-1.35141297664745	0.343876169799579	-3.92994076162677	8.49667919191727e-05	0.0493586255390461
Jpt2	1099.30968545824	0.691063932645041	0.176524954852478	3.91482288281882	9.04705954253531e-05	0.0504536416568109
Gsto1	360.23511879539	1.24011722215506	0.31962391181019	3.87992630192046	0.000104488119408911	0.0560297446461166
Peli3	1210.95563158209	-1.15636164285771	0.301510719705304	-3.83522563969845	0.000125449072732826	0.0647781841496689
Comp	81.4295206605908	-2.11303691778816	0.553253079826366	-3.81929535476119	0.000133833438773261	0.0661686922350772
Fosl1	34.0356493455867	3.74036446134787	0.979553161278499	3.81843947751238	0.000134298522354887	NA
Actg1	39902.052865957	0.933776094980196	0.244932455358597	3.81238204472775	0.000137633917287135	0.0661686922350772
Tubb6	1085.20112390819	1.14188448924267	0.30060135203182	3.7986671767258	0.000145476289020344	0.067607680717388
Esr2	82.3482229124999	-1.74883090986381	0.461929013962505	-3.78592999574123	0.00015313478371979	0.0688711340200425
Serpine1	4890.73528321842	1.32442011232056	0.35117263570168	3.77142173869621	0.000162320067948752	0.0707208246044218
Txlnb	287.142213987069	-1.21134734005638	0.323319941207074	-3.74659025216312	0.000179254528952668	0.0736492764823
Pnmal2	2258.68399969646	-0.895693663664183	0.239257111933049	-3.74364488657216	0.000181369939232665	0.0736492764823
Ttc7	2693.53488793118	-0.661987848887234	0.177058162576336	-3.73881576118711	0.000184889160585318	0.0736492764823
Ifrd1	3278.68576215552	1.29100687988485	0.349374024959948	3.69519995092036	0.000219713811122521	0.0828247644907146
Csrp1	18420.3659065384	0.730427497626959	0.197674893214114	3.69509493972908	0.000219804639661199	0.0828247644907146
Tagln	8207.35306657538	0.961729986226256	0.261006045538086	3.68470387053131	0.000228968692928454	0.0840074083370658
Nme1	2190.47075857952	0.903232295782301	0.246535572938816	3.66369966417164	0.000248598262726188	0.0876850541084554
Pamr1	801.032167742589	0.878690496626674	0.240036389093448	3.66065536956813	0.000251570948525191	0.0876850541084554
Per3	5296.32746411374	-1.09899578512924	0.302258929031242	-3.63594150436378	0.000276967181715615	0.094182352377539
Glcci1	5844.41983171607	-1.2678858269684	0.350793079351027	-3.61434105061026	0.000301112479049175	0.0999550043548477
Wif1	3307.42539910795	-1.59697903625295	0.444069494840508	-3.59623674854432	0.000322853989206367	0.104102365172102
Mt2	617.125836217244	2.30387359146322	0.641445476938307	3.5916904464895	0.000328539956073194	0.104102365172102
Cyp2s1	2126.75383486038	-1.71601761783995	0.480710142010741	-3.56975538452776	0.000357314726208209	0.110704042506552
Nkpd1	31.8381559720591	2.36603117964059	0.6633319315416	3.56688871307895	0.000361244800795194	NA
Cacna2d2	4581.08478801762	-1.72255090014948	0.48407890170257	-3.55840937105715	0.000373107485221614	0.112476723302852
Glp1r	196.498744088878	-1.83145701738311	0.515332888439401	-3.55393001003559	0.000379520199567115	0.112476723302852
Wdr1	10126.4313280769	0.577038101435084	0.162608633725459	3.54863138699836	0.000387238754736543	0.112476723302852
Brinp2	1279.18603688089	-1.4172954599312	0.400067161276469	-3.54264382862399	0.000396137336403309	0.112680260142644
Acvr2b	3453.60310081576	-0.826688483221389	0.233700174912633	-3.53738923614601	0.000404103644178181	0.112680260142644
Smarca2	19695.1506519289	-0.979054058424719	0.278265758534012	-3.51841370487936	0.000434134986207404	0.117573791989608
Timm17a	1850.2149821909	0.727377486943404	0.207925808847956	3.4982549351307	0.00046831325269384	0.117573791989608
Ier5	6636.81680198402	0.695835286104531	0.199313831059156	3.49115403786508	0.000480938883156263	0.117573791989608
Tfdp2	3211.96700607008	-0.592679936952536	0.169871561606336	-3.48898857082403	0.000484851879143354	0.117573791989608
Flrt1	1726.35018419306	-1.38348542645256	0.396581219275467	-3.48852986276082	0.000485684565932265	0.117573791989608
Mrpl45	818.511601475056	0.658968172063211	0.188906832982978	3.48832364429396	0.000486059346036147	0.117573791989608
D330041H03Rik	231.461041168191	-1.36192374218299	0.390702735940666	-3.48583108563085	0.000490610688784924	0.117573791989608
Atcay	7.00285254092773	6.48207328669638	1.86001207491142	3.48496301401971	0.000492205071920338	NA
Wnk2	473.782135616198	-1.01964647458711	0.292605947187398	-3.48470864788706	0.000492673179559777	0.117573791989608
Slc43a3	12020.3634672418	-0.55756547929826	0.16026434225953	-3.47903639348137	0.000503220241735236	0.117573791989608
Sema3g	110052.91152012	-1.33990192478273	0.385508828082074	-3.47567118358563	0.000509576658470549	0.117573791989608
Cfl1	19955.2062209758	0.734957416005727	0.211727084163868	3.47124893779248	0.000518043505695818	0.117573791989608
Eef1akmt1	338.927356057155	0.86125528301528	0.248288496382872	3.46876837051357	0.000522850028930978	0.117573791989608
Ppfibp2	2306.29933527051	-0.650384889011509	0.188099724059945	-3.45765998468047	0.000544888608490847	0.120361884827974
Wdr19	1147.92179998842	-0.847787609650084	0.245654529681614	-3.45113770443752	0.000558228670134794	0.120361884827974
Irak1bp1	281.681330397614	1.01153428626641	0.293412584354613	3.44748092005451	0.000565840372209709	0.120361884827974
Lifr	24022.7368818296	-0.859305048575267	0.249779612256634	-3.44025295264043	0.000581170740145466	0.120361884827974
Rpl36al	2542.36837307793	0.818417991392522	0.237942398372806	3.43956351196491	0.000582653055349067	0.120361884827974
Rbl2	3178.13589639525	-0.469378128876519	0.136545195727168	-3.43752943028759	0.00058704692069303	0.120361884827974
Nipal1	41.2030299593075	2.27222626255322	0.662220128042361	3.43122500560398	0.000600861991496842	0.121408954861579
Psat1	481.961138234248	1.39307882379223	0.406864210119656	3.42394044288766	0.000617201457980212	0.122191364636318
