gene	log2FC	padj
Nupr1	0.935384108985273	1.93984492312668e-05
Cryab	0.683649066638581	0.000568575854897181
Thsd7a	-1.55315128885673	0.000614659643480294
Igfbp7	0.55845056783314	0.0164380150395135
Pard3b	-0.922987572702216	0.0191545454956801
Robo2	-0.807929612967502	0.0192385582579207
Sema3g	-0.990524618404127	0.0227765808166796
Nes	0.54031168600659	0.0285177589487794
Tmem150c	-0.894079666557182	0.0295593888296669
Tdrd5	-0.780662601922955	0.0363444204647803
Wt1	-0.707745833589683	0.0497609308366594
Arhgap24	-0.793101092621234	0.0526595363593272
Synpo	-0.705227954276629	0.0559302225222705
Pth1r	-0.634331331679523	0.0591811110376099
Nphs1	-0.780471569193716	0.0638221768188587
Vegfa	-0.642366881839322	0.0690248629866451
Gas1	-0.700202425077561	0.0735652694086727
Mafb	-0.645718914026758	0.100045344873066
Enpep	-0.63309955432801	0.108065527122436
Adm	0.607393516659061	0.1278473345189
Pak1	-0.566546561600559	0.139976380858009
Sdc4	0.39732792336664	0.173082493745503
Nphs2	-0.666592191038769	0.178269893047874
Iqgap2	-0.372146542671075	0.212702117585696
Gadd45a	0.52110350189017	0.224760384348504
Podxl	-0.379221161108268	0.278406875226585
Foxd2os	-0.394017809581057	0.314140589734572
Cdkn1c	0.378514399773409	0.322923264656887
Ctsl	0.315134015034464	0.359620558572705
Shisa3	-0.376659425798252	0.365578573036157
Rab3b	0.357502628336428	0.392092923331923
Npnt	-0.360739090524652	0.396968563258127
Htra1	0.249613442962411	0.421365566607411
Dpp4	-0.306734294060115	0.433137523576886
Tcf21	-0.358103969518977	0.438795652532178
Cd59a	-0.401921401366265	0.458578535664606
Golim4	-0.222772880204687	0.498390221799445
Ildr2	-0.198873207836539	0.590689142542026
Hoxc8	-0.291505887753927	0.60206277836154
Col4a3	-0.173719566287833	0.707445641213197
Nap1l1	-0.161761752854132	0.720003656619414
Tmsb4x	0.161145682239475	0.747673552415548
Mertk	-0.0912681196832799	0.781979269588294
Sema3e	0.100787719468082	0.829714332552911
Rasl11a	-0.0590178167880712	0.871416615229468
Eif3m	-0.049220944695046	0.922621129108648
Rhpn1	-0.0247574703776052	0.966929498770919
Npr3	-0.0129721954185583	0.978410800863809
Clic3	-0.0107272419822726	0.991803040837349
