pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_TRANSLATION	6.62781159149896e-31	8.55650476462516e-28	1.44620288250144	0.602598584260371	2.84104289682966	275	Psmd8;Mrps18b;Eif4ebp1;Psmd12;Eif2s1;Eif4a1;Psmd11;Rpl36al;Rplp0;Etf1;Mrpl33;Psma1;Psmc2;Psmd2;Eif2s2;Psma6;Mrpl45;Rpl12;Eif3d;Mrps28;Gspt1;Mrpl54;Rps2;Mrpl17;Psmb7;Psmb4;Psmd13;Ube2d2a;Mrpl52;Elob;Psmd1;Psmc5;Psmb1;Psma2;Psma7;Psmc3;Eif3b;Eif2b3;Psmb2;Rpl19;Eif4h;Adrm1;Psma3;Srp72;Abce1;Mrpl40;Eloc;Eif3c;Mrps18a;Psmb6;Psmb3;Aurkaip1;Eif3g;Rpl23;Mrpl20;Psmc4;Rps9;Ppa1;Psmd7;Rpl11;Rpl39;Eef1a1;Rpl36a;Eif3i;Mrpl21;Rpl6;Rplp2;Malsu1;Rps19;Rpl24;Ube2d3;Rps28;Eif4g1;Rps18;Chchd1;Rpl15;Psma5;Mrps34;Rpl21;Srp9;Rpl3;Rpsa;Psmd6;Zfp598;Psmd14;Psmc6;Rps6;Mrps17;Rpl38;Mrpl14;Fau;Rps14;Rps11;Mrpl58;Rpl27;Rpl13a;Mrpl23;Srp19;Psmb5;Psmc1;Rpl32;Rps17;Rps20;Rchy1;Eif3l;Rps15a;Rpl27a;Mrpl47;Psma4;Psmd3;Rpl29;Rps27l;Rpl22l1;Rpl23a;Mrps18c;Rps7;Mrpl30;Rpl4;Rps25;Rpl35;Eif5b;Rps4x;Rps16;Rpl8;Rpl30;Rps24;Ubc;Ubb;Uba52;Rpl18;Rps15;Rplp1;Rps3;Rpl34;Eif3a;Eef1b2;Mrpl3;Rps26;Eif3e;Rpl18a;Mrpl57;Rpl7;Eif5;Mrps10;Mrpl55;Rps8;Mrps30;Trmt112;Rps27a;Mrpl51;Rps5
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	1.31551988330753e-25	8.49168084675008e-23	1.31101476274061	0.695288708301125	3.00231283557688	131	Psmd8;Psmd12;Psmd11;Rpl36al;Rplp0;Psma1;Psmc2;Psmd2;Psma6;Rpl12;Rps2;Psmb7;Psmb4;Psmd13;Ube2d2a;Elob;Psmd1;Psmc5;Psmb1;Psma2;Psma7;Psmc3;Psmb2;Rpl19;Adrm1;Psma3;Abce1;Eloc;Psmb6;Psmb3;Rpl23;Psmc4;Rps9;Psmd7;Rpl11;Rpl39;Rpl36a;Rpl6;Rplp2;Rps19;Rpl24;Ube2d3;Rps28;Rps18;Rpl15;Psma5;Rpl21;Rpl3;Rpsa;Psmd6;Zfp598;Psmd14;Psmc6;Rps6;Rpl38;Fau;Rps14;Rps11;Rpl27;Rpl13a;Psmb5;Psmc1;Rpl32;Rps17;Rps20;Rchy1;Rps15a;Rpl27a;Psma4;Psmd3;Rpl29;Rps27l;Rpl22l1;Rpl23a;Rps7;Rpl4;Rps25;Rpl35;Rps4x;Rps16;Rpl8;Rpl30;Rps24;Ubc;Ubb;Uba52;Rpl18;Rps15;Rplp1;Rps3;Rpl34;Rps26;Rpl18a;Rpl7;Rps8;Rps27a;Rps5
REACTOME_NEUTROPHIL_DEGRANULATION	1.49787943690696e-22	6.4458745101563e-20	1.22950405660873	0.477749198507078	2.35925031131728	442	Ckap4;Tmbim1;Bst2;Vat1;Rhog;Tubb5;Cap1;Cd44;Cd68;P2rx1;Cnn2;Arsa;B2m;Pgm2;Rab31;Mvp;Anxa2;Psmd12;Cstb;Psmd11;Plac8;Surf4;Sdcbp;Hp;S100a9;Cybb;Plekho2;Stbd1;Aldoa;Psmc2;B4galt1;Psmd2;Tlr2;Ptprc;Arl8a;Crispld2;S100a8;Serpinb6a;S100a11;Cxcl1;Nfkb1;H2-M3;Plau;Jup;Psmb7;Retn;Fcgr4;Tubb4b;Psmd13;Kcmf1;Rhoa;Rab5c;H2-Q10;Pkm;Cst3;Tnfrsf1b;Tyrobp;Psmd1;Rac1;Psmb1;Mmp8;Psma2;Vapa;Timp2;Psmc3;Nckap1l;Itgb2;Dock2;Cyfip1;Rap1b;Bin2;Ddx3x;Pnp;Aprt;Serpinb1a;Kpnb1;Pa2g4;Asah1;Commd3;Ppia;Copb1;Itgav;Slc11a1;Rap1a;Pecam1;Itgam;Lyz2;Clec12a;Arpc5;Ano6;Rap2b;Serpinb10;Diaph1;Ostf1;Psmd7;Cyb5r3;Sell;Lamtor1;Fpr2;Eef1a1;Ctsh;Cxcr2;Plaur;Agpat2;Slpi;Itgal;Pafah1b2;Gsn;Snap25;Ncstn;Psma5;Enpp4;Gdi2;Unc13d;Iqgap1;Rab7;Ppie;Clec4a3;Itgax;Ltf;Ctsz;Psmd6;Vcp;Ifi204;Arg1;Mmp25;Mcemp1;Impdh1;Psmd14;Tmem30a;Impdh2;Grn;Rab37;Cotl1;Cd93;Ptafr;Prcp;Fpr1;Ticam2;Ifi211;Ptpn6;Cpne1;Actr2;Gpi1;Hgsnat;Clec4a2;Gsdmd;Ctss;C3ar1;Atp6v1d;Lair1;Psmd3;Fcna;Fgr;Hk3;Cd63;Csnk2b;Snap29;Fcer1g;Actr10;Mmp9;Hpse;Adam10;Tmc6;Rab10;Lamtor3;Cr1l;Npc2;Cd177;Pdap1;Adgrg3;Serpina1c;C5ar1;Aoc1;Ctsc;Arhgap9;Rab44;Stk10;Lcn2;Ypel5;Cab39;Cfd;Cct2;Faf2;Mospd2;Rap2c;Pglyrp1;Atp8b4;Cd36;Qpct;Prdx4;Hspa1a;2310033P09Rik;Slc44a2;Chit1;Bri3;Vamp8
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1.89107915385054e-21	6.10345796905263e-19	1.19534448258848	0.478096482064394	2.35465452154286	426	Socs2;Tnfrsf12a;Tuba1a;Tubb6;Ube2m;Psmd8;Sqstm1;Il2rg;Usp18;Tnfrsf1a;Psmd12;Tnfsf15;Tuba8;Eif4a1;Psmd11;Lif;Akt1;Map2k3;Grap2;Ube2v1;Gbp2;Il1rn;Nfkb2;Psma1;Il11ra1;Rela;Il1r1;Mapkapk2;Nfkbia;Socs3;Psmc2;Dusp6;Psmd2;Psma6;Isg15;Osmr;Hck;Il1b;Shc1;Nfkb1;Tuba1b;Nfkbib;Ube2l6;Psmb7;Csf1;Psmb4;Tubb4b;Psmd13;Ube2d2a;Ppp2ca;Elob;Ptpn1;Tnfrsf1b;Trp53;Psmd1;Psmc5;Psmb1;Syk;Psma2;Irak3;Psma7;Psmc3;Stat3;Irak2;Psmb2;Pik3cb;Adrm1;Psma3;Sphk1;Kpnb1;Abce1;Hras;Cdk1;Eloc;Ifngr2;Relb;Ifngr1;Camk2b;Rapgef1;Psmb6;Psmb3;Dusp3;Il2ra;Mapk3;Ptpn2;Casp8;Casp3;Ifnar2;Il7r;Psmc4;Socs5;Camk2d;Psmd7;Eif4e2;Tubb4a;Crk;Eif4a3;Eda2r;Ube2d3;Map3k8;Il12b;Myd88;Il4ra;Eif4g1;Oasl1;Nck1;Uba7;Snap25;Faap100;Psma5;Tnfrsf9;Irf9;Mapk11;Sh2b3;Psmd6;P4hb;Vav1;Fos;Psmd14;Psmc6;Nkiras2;Csf2rb;Map3k14;Il20rb;S100b;Stx3;Socs1;Il7;Ifi44;Ptpn6;Uba3;Psmb5;Ltb;Psmc1;Birc2;Stat6;Nlrc5;Gsdmd;Psma4;Tuba1c;Lyn;Psmd3;Tnfsf14;Mapkapk3;Il18bp;Stat2;Ppp2cb;Npm1;Ebi3;Ubc;Il10ra;Stx1a;Traf2;Ubb;Uba52;Il18rap;Csk;Pik3r3;Kpna1;Il12rb1;Tnfrsf4;Traf3;Dhx9;Tbk1;Clcf1;Usp14;Ltbr;Tnfsf8;Tubb1;Il1rapl1;Ifi44l;Osm;Flt3l;Lck;Rps27a;Tnfrsf8;Kras;Il6;Hspa1a;Gbp5;Casp1;Ppp2r1a;Stx4a;Camk2g;Grb2;Tubal3;Il2rb;Tubb2a;Csf3;Map2k4;Il1a;Ube2e1;Irs2;Eif4g3;Il16;Map3k7;Tnfsf11;Mapk7;Tubb3;Tnfsf18;Il1r2;Il27;Ppp2r5a;Ywhaz;Ppp2r1b;Atf1;Ube2n;N4bp1
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	1.0627149989268e-20	2.74393012722899e-18	1.1778932614942	0.615367930894923	2.74955904031885	170	Pno1;Csnk1e;Rpl36al;Rplp0;Exosc1;Rpl12;Exosc4;Ddx21;Nop58;Rps2;Riok1;Fbl;Rpl19;Tbl3;Utp18;Utp14a;Dcaf13;Exosc3;Exosc9;Rpl23;Rps9;Nip7;Rpl11;Gnl3;Rpl39;Mphosph6;Ltv1;Rpl36a;Utp3;Rpl6;Rplp2;Rps19;Rpl24;Rps28;Rps18;Rpl15;Rpl21;Utp4;Rpl3;Ncl;Rpsa;Emg1;Rps6;Rpl38;Bop1;Fau;C1d;Rps14;Rps11;Rpl27;Rpl13a;Nol11;Rpl32;Rps17;Rps20;Rps15a;Rpl27a;Ddx49;Rpl29;Rps27l;Rpl22l1;Rpl23a;Rps7;Fcf1;Rpl4;Rps25;Rpl35;Rps4x;Rps16;Rpp38;Snu13;Rpl8;Exosc6;Rpl30;Wdr46;Rps24;Isg20l2;Imp3;Ftsj3;Ubb;Uba52;Bysl;Nop56;Rpl18;Rrp9;Rps15;Rplp1;Rps3;Rpl34;Rps26;Rpl18a;Rpl7;Rps8;Exosc10;Xrn2;Ebna1bp2;Rrp7a;Rps5;Senp3;Rps23;Utp11;Rps3a1;Exosc2;Rps13;Rpl28;Wdr43;Rps21;Pes1;Dis3;Rpl9;Rpl37;Rps10;Rpl5;Rpl37a;Rpp21;Rps12;Nop14;Rpl13
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	2.34479145806119e-20	5.045209620595e-18	1.16906996676109	0.725202904796351	2.94275921989551	91	Psmd8;Psmd12;Psmd11;Rpl36al;Rplp0;Psma1;Psmc2;Psmd2;Psma6;Rpl12;Psmb7;Psmb4;Psmd13;Ube2d2a;Elob;Psmd1;Psmc5;Psmb1;Psma2;Psma7;Psmc3;Psmb2;Rpl19;Adrm1;Psma3;Eloc;Psmb6;Psmb3;Rpl23;Psmc4;Psmd7;Rpl11;Rpl39;Rpl36a;Rpl6;Rplp2;Rpl24;Rpl15;Psma5;Rpl21;Rpl3;Psmd6;Psmd14;Psmc6;Rpl38;Rpl27;Rpl13a;Psmb5;Psmc1;Rpl32;Rchy1;Rpl27a;Psma4;Psmd3;Rpl29;Rpl22l1;Rpl23a;Rpl4;Rpl35;Rpl8;Rpl30;Ubc;Ubb;Uba52;Rpl18;Rplp1;Rpl34;Rpl18a;Rpl7
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	5.28908166171973e-18	9.75457775040024e-16	1.0959292864312	0.778976852666848	2.94791408651568	58	Psmd8;B2m;Psmd12;Psmd11;Ncf1;Psme2;Cybb;Psma1;Psmb8;Psmc2;Psmd2;Psma6;Psme1;Psmb10;H2-M3;Psmb7;Psmb4;Psmd13;H2-Q10;Psmd1;Psmc5;Psmb1;Psma2;Psma7;Psmc3;Psmb2;Adrm1;Psma3;Ncf4;Itgav;Psmb6;Ncf2;Psmb3;Psmc4;Psmd7;Psma5;Psmd6;Psmd14;Psmc6;Psmb5;Psmc1;Psma4;Psmd3
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	9.60156371318851e-17	1.5494523442158e-14	1.05746357275086	0.760442290675532	2.86165304452209	60	Tuba1a;Tubb6;Psmd8;Psmd12;Tuba8;Psmd11;Psma1;Cdkn1a;Psmc2;Psmd2;Psma6;Mapre1;Tuba1b;Psmb7;Psmb4;Tubb4b;Psmd13;Trp53;Psmd1;Psmc5;Psmb1;Psma2;Psma7;Psmc3;Psmb2;Adrm1;Psma3;Cdk1;Psmb6;Psmb3;Psmc4;Psmd7;Tubb4a;Psma5;Gtse1;Ccnb2;Psmd6;Ccnb1;Psmd14;Psmc6;Psmb5;Psmc1;Psma4;Tuba1c;Psmd3;Ubc;Ubb;Uba52
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.16643089800139e-16	1.67318032146644e-14	1.04762648849882	0.65418853234321	2.75455462596259	111	Eif4ebp1;Eif2s1;Eif4a1;Rpl36al;Rplp0;Eif2s2;Rpl12;Eif3d;Rps2;Eif3b;Eif2b3;Rpl19;Eif4h;Eif3c;Eif3g;Rpl23;Rps9;Rpl11;Rpl39;Rpl36a;Eif3i;Rpl6;Rplp2;Rps19;Rpl24;Rps28;Eif4g1;Rps18;Rpl15;Rpl21;Rpl3;Rpsa;Rps6;Rpl38;Fau;Rps14;Rps11;Rpl27;Rpl13a;Rpl32;Rps17;Rps20;Eif3l;Rps15a;Rpl27a;Rpl29;Rps27l;Rpl22l1;Rpl23a;Rps7;Rpl4;Rps25;Rpl35;Eif5b;Rps4x;Rps16;Rpl8;Rpl30;Rps24;Ubb;Uba52;Rpl18;Rps15;Rplp1;Rps3;Rpl34;Eif3a;Rps26;Eif3e;Rpl18a;Rpl7;Eif5;Rps8;Rps5;Rps23;Eif1ax;Rps3a1;Rps13;Eif3k;Rpl28;Rps21;Eif3h;Rpl9;Rpl37;Rps10;Rpl5;Rpl37a;Rps12;Eif4e;Rpl13
REACTOME_PROTEASOME_ASSEMBLY	5.23453415302907e-16	6.75778359156053e-14	1.02766987054358	0.808344315297104	2.89189143547414	47	Psmd8;Psmd12;Psmd11;Psme2;Psma1;Psmb8;Psmc2;Psmd2;Psma6;Psme1;Psmb10;Psmb7;Psmd4;Psmb4;Psmd13;Psmd1;Psmc5;Pomp;Psmb1;Psma2;Psma7;Psmc3;Psmb2;Adrm1;Psma3;Psmb6;Psmb3;Psmc4;Psmd7;Psma5;Psmd6;Psmd14;Psmc6;Psmg4;Psmb5;Psmc1;Psma4;Psmd3;Psmd9;Psmg2
