pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	2.55320199550235e-25	3.30384338218004e-22	1.30309315086572	-0.601526236262943	-2.87354752701336	204	Pdk2;Nnt;Gpt;Idh2;Fahd1;Ldhb;Mdh1;Suclg2;Hagh;Slc25a13;D2hgdh;Dmac2;Cox7a1;Pyurf;Sirt3;Cox6a2;Gstz1;Pdp2;Me1;Dmac2l;Ndufaf7;Suclg1;L2hgdh;Acat1;Etfa;Rmnd5a;Ndufb5;Uqcrfs1;Etfb;Vdac1;Cox6c;Ndufa10;Ndufaf1;Ndufab1;Cox7a2l;Cox4i1;Dld;Mrps36;Idh3g;Sdha;Nubpl;Adhfe1;Hscb;Pcx;Ndufa3;Acad9;Fh1;Uqcr10;Ndufa1;Etfdh;Ndufv3;Timmdc1;Gid4;Sdhb;Slc25a27;Ecsit;Got1;Ndufaf6;Uqcrc2;Ndufs8;Cycs;Ndufa13;Trap1;Ndufa12;Ndufs7;Cox7b;Cox7c;Pm20d1;Me3;Atp5pb;Sdhd;Aco2;Lyrm4;Uqcr11;Cox6b1;Cox5a;Ndufs4;Idh3b;Ndufa2;Uqcrh;Idh3a;Cox16;Ndufs6;Ndufc1;Nek1;Nfs1;Ndufs1;Ndufa9;Ndufa4;Lyrm7;Ndufb10;Ndufb3;Coa5;Ndufaf4;Got2;Ndufs3;Cyc1;Cox7a2;Pdhx;Timm21;Ndufb8;Ndufa5;Smim20;Uqcrq;Ndufv1;Higd2a;Ndufb2;Ndufb9;Dlat;Ndufb11;Ndufa6;Cox5b;Uqcrc1;Fxn;Ndufc2;Ndufb6;Sdhc;Pdha1;Pdhb;Ndufb4;Cox6a1;Ndufv2;Ndufb1;Cox14;Sucla2;Cox8a;Ndufa8;Sirt4;Uqcrb;Ucp3;Dmac1;Slc25a11;Dlst;Pdk3;Slc25a14;Ndufa11;Tmem126b;Cox19;Ndufb7;Isca1;Ndufs5;Higd1a;Coa3;Tmem186
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1.64161896606916e-23	1.06212747104674e-20	1.25451347943706	0.480272582817996	2.44857290803217	427	Tnfrsf12a;Socs2;Tubb6;Il2rg;Tuba1a;Tnfrsf1a;Lif;Tnfsf15;Usp18;Akt1;Ube2v1;Gbp2;Rela;Psmd11;Il1r1;Nfkb2;Socs3;Grap2;Sqstm1;Dusp6;Shc1;Il1b;Nfkb1;Eif4a1;Csf1;Osmr;Camk2b;Il1rn;Syk;Irak3;Psmd2;Ptpn1;Map2k3;Mapkapk2;Tnfrsf1b;Stat3;Tuba8;Trp53;Kpnb1;Il2ra;Pik3cb;Dusp3;Tubb4a;Cdk1;Casp8;Rapgef1;Hck;Socs5;Camk2d;Eda2r;Il7r;Abce1;Isg15;Il4ra;Uba7;Myd88;Relb;Ube2l6;Ube2m;Eif4g1;Crk;Oasl1;Sh2b3;Ifngr1;Vav1;Map3k14;Irf9;Nkiras2;Adrm1;Fos;Il20rb;Eif4e2;Socs1;Csf2rb;Psmd12;Psmd8;Psmd1;Ifnar2;Irak2;Map3k8;Gsdmd;Nlrc5;Ifi44;Stat2;Il18bp;Tnfrsf4;Nfkbia;Sphk1;Mapk11;Ltb;Stat6;Traf3;Pik3r3;Kpna1;Ppp2ca;Il12rb1;Dhx9;Casp3;Tnfrsf9;Stx1a;Ebi3;Ifngr2;Tubb1;Il10ra;Il18rap;Gbp5;Mapkapk3;Eif4g3;Irs2;Csf3;Tnfsf8;Map3k7;Faap100;Il2rb;N4bp1;S100b;Birc2;Lyn;Camk2g;Il1a;Stx3;Map2k4;Clcf1;Ptpn2;Tnfrsf8;Il16;Nck1;Ifi44l;Ppp2r1b;Osm;Mapk7;Jak2;Nfkbib;Il1rapl1;Mapk3;Casp1;Ilf3;Adar;Stat5b;Lck;Plcg1;Birc3;H3c7;Il6st;Tuba1b;Ifnar1;Psma7;Pggt1b;Psma1;Il27;Inppl1;Sdc1;Nod2;Irak1;Il11;Map3k3;Eif2ak2;Tnfsf14;Csk;Atf1;Ube2e1;Hspa1a;Tnfrsf14;Cul1;Ptpn11;Fkbp5;Flnb;Tbk1;Sla2;Ube2d2a;Inpp5d;Ppp2r5a;Arih1;Jun;Txlna;Kras;Il1r2;Alpk1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	1.67968693055959e-22	7.24504962714703e-20	1.22950405660873	-0.668752742990265	-2.94370996777142	123	Mdh1;Slc25a13;Dmac2;Cox7a1;Pyurf;Cox6a2;Ndufaf7;Etfa;Ndufb5;Uqcrfs1;Etfb;Cox6c;Ndufa10;Ndufaf1;Ndufab1;Cox7a2l;Cox4i1;Nubpl;Hscb;Ndufa3;Acad9;Uqcr10;Ndufa1;Etfdh;Ndufv3;Timmdc1;Ecsit;Got1;Ndufaf6;Uqcrc2;Ndufs8;Cycs;Ndufa13;Ndufa12;Ndufs7;Cox7b;Cox7c;Lyrm4;Uqcr11;Cox6b1;Cox5a;Ndufs4;Ndufa2;Uqcrh;Cox16;Ndufs6;Ndufc1;Nfs1;Ndufs1;Ndufa9;Ndufa4;Lyrm7;Ndufb10;Ndufb3;Coa5;Ndufaf4;Got2;Ndufs3;Cyc1;Cox7a2;Timm21;Ndufb8;Ndufa5;Smim20;Uqcrq;Ndufv1;Higd2a;Ndufb2;Ndufb9;Ndufb11;Ndufa6;Cox5b;Uqcrc1;Fxn;Ndufc2;Ndufb6;Ndufb4;Cox6a1;Ndufv2;Ndufb1;Cox14;Cox8a;Ndufa8;Uqcrb;Dmac1;Slc25a11;Ndufa11;Tmem126b;Cox19;Ndufb7;Ndufs5;Higd1a;Coa3;Tmem186;Cox17
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.78663249675477e-19	9.01475612700168e-17	1.13308993200902	0.528766035090648	2.52987268249044	250	Col5a3;Loxl1;Serpine1;Itga5;Col4a2;Cd44;Adam15;Col4a1;Itgb1;Actg1;Actb;Mmp2;Adamts4;Eln;Loxl2;Emilin1;Gdf5;Itga9;Itgb3;Timp1;Tgfb1;Icam1;Capn5;Mmp15;Fbln5;Itga11;Ltbp1;Mmp8;Timp2;Mmp14;Emilin2;Bcan;Capn2;Tgfb3;Itgam;Itgb2;Itgav;Pecam1;Fn1;Itga2;Vcan;Itga3;Sdc2;Itgal;Itgax;Ctss;Mmp3;Sdc3;Sgcd;Col6a5;Col6a1;Col22a1;F11r;Colgalt1;Tgfb2;Nid2;Col18a1;Capns1;Mmp25;Adam10;Itga8;Pxdn;Dmp1;Mmp10;Sdc4;Col19a1;Bmp2;Plod2;Actc1;Col4a6;Itgb4;Lox;Nid1;Col4a5;Col13a1;P3h3;Col9a3;Thbs1;Mmp9;Capn8;Fbn1;Ddr1;Col10a1;Adam19;Adam12;Capn7;Ltbp2;Sdc1;Dag1;Acan;Mmp12;Ceacam1;Vwf;Fga;Col28a1;Efemp2;Icam2;Cast
REACTOME_NEUTROPHIL_DEGRANULATION	7.73442375658498e-16	2.00166886820419e-13	1.02766987054358	0.423242824198076	2.16576159622273	444	Ckap4;Tmbim1;Vat1;Cd68;Cap1;Cd44;Arsa;P2rx1;Bst2;Tubb5;Rab31;Cnn2;Rhog;Mvp;Cybb;Hp;B2m;Psmd11;Plekho2;B4galt1;Crispld2;Tlr2;Pgm2;Lyz2;Nfkb1;Cxcl1;Ptprc;Plac8;S100a9;H2-Q10;Mmp8;Anxa2;Psmd2;Dock2;Fcgr4;Bin2;Timp2;Cyfip1;H2-M3;Ddx3x;Tyrobp;Kcmf1;Slc11a1;Nckap1l;Tnfrsf1b;Itgam;Itgb2;Rap2b;Jup;Serpinb10;Itgav;Pa2g4;Kpnb1;Pecam1;Ano6;Clec12a;Diaph1;Arl8a;Cxcr2;Asah1;Sell;Unc13d;Itgal;Itgax;Ptafr;Iqgap1;Enpp4;Ifi204;Ncstn;Ctss;S100a8;Lair1;Gsn;Pafah1b2;Ifi211;Cd93;Stbd1;Slpi;Cpne1;Psmd12;Copb1;Sdcbp;Psmd1;C3ar1;Gsdmd;Hgsnat;S100a11;Ltf;Plau;Fgr;Impdh1;Adgrg3;Mmp25;Fcna;Stk10;Adam10;Fpr1;Ticam2;Fpr2;Plaur;Arg1;Rab44;Surf4;Vcp;Sptan1;Clec4a2;Slc44a2;Ampd3;Faf2;Atp8b4;Agpat2;Rap1b;Mospd2;Cyb5r3;Rhoa;Hpse;C5ar1;Fcer1g;Trpm2;Pglyrp1;Ap1m1;Rap2c;Arhgap9;Cab39;Pkm;Sting1;Rab37;C3;Tmem63a;Nbeal2;Actr1b;Rab10;Mmp9;Clec4a3;Serpinb1a;Igf2r;Arpc5;Impdh2;Prcp;Qsox1;Serpinb6a;Mcemp1;Ostf1;Nfam1;Rab5c;Snap29;Olr1;Actr2;Gla;Lcn2;Lilra5;Hk3;Dnajc5;Cstb;Siglece;Rac1;Tcirg1;Alox5;Ceacam1;Cr1l
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	1.68447641238293e-14	3.63285412937252e-12	0.97599468306432	-0.490694963124491	-2.36688378156757	227	Aspa;Gpt;Mccc2;Ppm1k;Ivd;Ahcy;Aldh7a1;Bckdhb;Cbs;Ckmt1;Asl;Ftcd;Adi1;Mccc1;Iyd;Dbt;Gcdh;Bcat2;Qdpr;Gatm;Aspg;Aldh6a1;Tstd1;Prodh;Ddo;Aldh9a1;Echs1;Hibadh;Kyat1;Slc25a13;Sirt5;Uroc1;Hykk;Aldh4a1;Pcbd1;Gnmt;Shmt1;Slc25a10;Sephs2;Bhmt;Agxt2;Prodh2;Gstz1;Psph;Grhpr;Slc6a8;Rida;Crym;Acat1;Pah;Slc25a15;Phgdh;Fah;Mpst;Amt;Ass1;Gcsh;Slc25a21;Aadat;Bckdha;Tst;Dmgdh;Dld;Mrps36;Dao;Pipox;Carns1;Sardh;Haao;Suox;Cth;Folh1;Auh;Got1;Acad8;Bcat1;Aass;Hsd17b10;Sdsl;Kmo;Chdh;Ethe1;Hgd;Hoga1;Dhtkd1;Hpd;Fmo1;Bhmt2;Slc6a12;Got2;Oat;Hibch;Gpt2;Sqor
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	6.76561315094767e-14	1.10595716388238e-11	0.954541630725724	-0.700367750917328	-2.78166394368335	64	Eci2;Gstk1;Decr2;Amacr;Gnpat;Nudt7;Dhrs4;Phyh;Pex6;Ddo;Crot;Hacl1;Acox1;Mlycd;Scp2;Pecr;Hsd17b4;Ephx2;Slc27a2;Crat;Pex1;Pex10;Cat;Idh1;Acox3;Dao;Acaa1b;Pipox;Pex26;Pex14;Pex7;Ech1;Nudt19;Ehhadh;Hmgcl;Hao2;Acot8;Acot4;Pex5;Mpv17;Tysnd1;Acox2;Pex2
REACTOME_SIGNALING_BY_INTERLEUKINS	6.83744769015385e-14	1.10595716388238e-11	0.954541630725724	0.472539294267688	2.26444719686071	253	Il2rg;Lif;Usp18;Ube2v1;Rela;Psmd11;Il1r1;Nfkb2;Socs3;Sqstm1;Dusp6;Shc1;Il1b;Nfkb1;Csf1;Osmr;Il1rn;Syk;Irak3;Psmd2;Map2k3;Mapkapk2;Stat3;Il2ra;Pik3cb;Dusp3;Casp8;Rapgef1;Hck;Socs5;Il7r;Il4ra;Myd88;Crk;Vav1;Nkiras2;Adrm1;Fos;Il20rb;Socs1;Csf2rb;Psmd12;Psmd8;Psmd1;Irak2;Map3k8;Gsdmd;Nlrc5;Stat2;Il18bp;Nfkbia;Mapk11;Stat6;Pik3r3;Ppp2ca;Il12rb1;Casp3;Stx1a;Ebi3;Il10ra;Il18rap;Mapkapk3;Irs2;Map3k7;Il2rb;N4bp1;S100b;Lyn;Il1a;Stx3;Map2k4;Clcf1;Il16;Ppp2r1b;Osm;Mapk7;Jak2;Nfkbib;Il1rapl1;Mapk3;Casp1;Stat5b;Lck;H3c7;Il6st;Psma7;Psma1;Il27;Inppl1;Sdc1;Nod2;Irak1;Il11;Map3k3;Atf1;Cul1;Ptpn11;Tbk1;Inpp5d;Jun;Txlna;Il1r2;Alpk1
REACTOME_BIOLOGICAL_OXIDATIONS	8.91869413294249e-14	1.28231002311418e-11	0.954541630725724	-0.512404838997511	-2.41210628944748	188	Cyp2s1;Acss1;Cyp4b1;Gstt1;Cyp2a5;Cmbl;Tpmt;Ahcy;Gstk1;Bpnt1;Acy1;Acss2;Abhd14b;Akr7a5;Cyp2j6;Nat1;Mtarc2;Cyp4a12b;Cyp2f2;Cyp27a1;Dpep1;Cyp2a4;Cyp7b1;Ugt2b38;Bphl;Aldh2;Acsm1;Gstz1;Aadac;Ugt3a2;Acsm2;Cyp2e1;Fdxr;Oplah;Cyp4a12a;Glyat;Ugt2b34;Gss;Gstm5;Cyp8b1;Cyp4a32;Cyp24a1;Acy3;Ces1d;Ggt1;Gstt2;Nat2;Ggt6;Hsp90ab1;Cndp2;As3mt;Sult1c2;Maob;Mgst3;Ugt2b5;Nqo2;Ugt1a8;Acsm5;Ugt1a7c;Ugt2a3;Akr1a1;Chac2;Mgst1;Cyb5b;Fdx1;Fmo1;Cyp4f15;Nr1h4;Ugt1a6a;Sult1a1;Ugp2;Gsta3;Ugt3a1;Gsta2;Fmo2;Cyp4a30b;Cyp27b1;Cyp46a1;Adh1;Gstm3;Adh5;Gclm;Cbr3;Fmo3
REACTOME_COMPLEX_I_BIOGENESIS	1.56829307561436e-13	2.02937123984498e-11	0.943632225232838	-0.709549122971715	-2.77178912937712	57	Dmac2;Pyurf;Ndufaf7;Ndufb5;Ndufa10;Ndufaf1;Ndufab1;Nubpl;Hscb;Ndufa3;Acad9;Ndufa1;Ndufv3;Timmdc1;Ecsit;Ndufaf6;Ndufs8;Ndufa13;Ndufa12;Ndufs7;Ndufs4;Ndufa2;Ndufs6;Ndufc1;Ndufs1;Ndufa9;Ndufb10;Ndufb3;Ndufaf4;Ndufs3;Ndufb8;Ndufa5;Ndufv1;Ndufb2;Ndufb9;Ndufb11;Ndufa6;Ndufc2;Ndufb6;Ndufb4;Ndufv2;Ndufb1;Ndufa8;Dmac1;Ndufa11;Tmem126b;Ndufb7;Ndufs5;Tmem186
