pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_TRANSLATION	7.29423629283259e-23	9.41685905404687e-20	1.23789667319529	-0.507750302894118	-2.6614685283298	275	Mrps21;Mrpl14;Mrps28;Mrps6;Mrps7;Mrpl42;Mrpl28;Mrps17;Mrps12;Mrpl34;Eef1g;Mrpl41;Mrps33;Srp14;Trmt112;Mrpl40;Srp9;Mrps25;Mrpl35;Eif2b3;Rps18;Ppa2;Mrpl32;Gadd45gip1;Mrpl15;Eif4e;Eloc;Ube2d2a;Rps12;Rps5;Rpl36al;Mrps36;Mrpl21;Eif3i;Eif2b5;Mrpl3;Rps21;Rbx1;Mrpl49;Rpl13;Eif4a2;Rpl37a;Mrpl12;Mrpl45;Rpl23a;Rps27a;Rpl35;Eif1ax;Psmd6;Eef1d;Mrpl13;Rps24;Rpsa;Rps2;Ndufab1;Mrps24;Rps23;Rpl13a;Rps4x;Rpl9;Ubb;Eif5b;Rpl37;Mrps2;Rpl22;Eif2b4;Rpl11;Ube2d3;Mrpl16;Rpl27a;Fau;Mrps18c;Rps8;Mrps18a;Abce1;Psmc5;Psma1;Psmb1;Mrpl36;Rpl8;Rps3a1;Gfm1;Ube2d1;Uba52;Rps11;Hbs1l;Rplp0;Mrpl48;Mrpl58;Rpl38;Rps13;Psma4;Rpl28;Rpl21;Mrpl50;Rpl6;Srp68;Rplp2;Psmc4;Rps10;Rps28;Rpl35a;Eif2s2;Mrpl44;Eef1b2;Eif3g;Mrps30;Mrpl38;Psmb7;Rpl31;Rps6;Mrps31;Eif2b1;Rpl14;Psmd7;Mrps15;Rpl5;Mrpl18;Rpl32;Mrps10;Mrpl11;Mrpl51;Rps17;Eral1;Mrps26;Psmb6;Mrpl46;Rplp1;Pelo;Eif3j1;Nemf;Rpl27;Elob;Rpl12;Rpl34;Mtrf1l;Rps14;Mrpl19;Mrps22;Mrps11;Mrps27;Psma5;Eif3l;Gspt1;Mrpl55;Eif3a;Rps9;Ubc;N6amt1;Rps25;Psmc2;Rps29;Rps15;Mrpl57;Mrpl23;Rps26;Apeh;Rps3;Mrrf;Rpl18a;Aurkaip1;Gm6525;Psmc6;Rpl36a;Trip4;Rpl30;Pabpc1;Rps7;Mrps35;Mrpl4;Rps16;Rpl24;Mrpl27;Mrpl22;Eif3h;Rps20;Psmd14;Psma3;Mrpl1
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	1.28489055411128e-12	8.2939685267883e-10	0.910119734774459	-0.462583317065329	-2.33385222985603	204	Ldha;Pdk2;Nek1;Pdk3;Ndufb10;Vdac1;Ndufaf5;Glo1;Rmnd5a;Ndufaf4;Pyurf;Timmdc1;Uqcrb;Ndufb3;Uqcr11;Ndufaf2;Coa5;Ndufs8;Isca1;Sdhaf4;Me1;Ndufa13;Ndufb8;Ndufs5;Gid4;Higd1a;Ndufaf1;Tmem126b;Ttc19;Lyrm4;Mrps36;Ndufb7;Tmem186;Cox7c;Uqcr10;Ndufb1;Rps27a;Ecsit;Cox5a;Ndufa2;Ndufab1;Sco1;Hspa9;Ubb;Rab5if;Hagh;Ndufs7;Ndufv3;Atp5pb;Sdhc;Nnt;Ndufa1;Tmem177;Ndufa8;Cycs;Ndufa4;Pdhb;Sucla2;Fahd1;Slc25a11;Sdhd;Coq10b;Uba52;Ndufs6;Pgam5;Ndufv2;Ndufb11;Smim20;Ndufs4;Ndufs3;Uqcrfs1;Ndufb5;Fh1;Ndufc2;Ndufc1;Idh3a;Cox7b;Mdh2;Cox6a1;Mdh1;Cox16;Acat1;Ndufa7;Cox18;Cox7a2;Cox14;Uqcrh;Ndufb2;Cox17;Sirt4;Ndufa10;Ndufaf8;Nfs1;Hscb;Ndufa3;Cox4i1;Uqcrq;Cox6b1;Ndufa9;Sdhaf3;Idh3b;Pdp2;Dmac1;Dlst;Pdp1;Ndufa5;Cox7a2l;Sdhb;Idh3g;Ndufb4;Cox5b;Pkm;Ndufa6;Uqcrc1;Lyrm2;Cox19;L2hgdh;Timm21;Ubc;Dld;Cox20;Rmnd5b;D2hgdh;Gpt;Ndufb9;Ndufv1;Ndufaf3;Dmac2l;Ndufs1;Gstz1;Higd2a;Cyc1;Suclg1;Gid8;Sdha;Cox8a;Aco2;Iscu;Adhfe1;Mkln1;Cox6a2;Ndufb6
REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	2.42322376056757e-11	8.25768380930524e-09	0.863415391606693	-0.57815692934892	-2.53144504813397	88	Mrps21;Mrpl14;Mrps28;Mrps6;Mrps7;Mrpl42;Mrpl28;Mrps17;Mrps12;Mrpl34;Mrpl41;Mrps33;Mrpl40;Mrps25;Mrpl35;Mrpl32;Gadd45gip1;Mrpl15;Mrps36;Mrpl21;Mrpl3;Mrpl49;Mrpl12;Mrpl45;Mrpl13;Ndufab1;Mrps24;Mrps2;Mrpl16;Mrps18c;Mrps18a;Mrpl36;Mrpl48;Mrpl58;Mrpl50;Mrpl44;Mrps30;Mrpl38;Mrps31;Mrps15;Mrpl18;Mrps10;Mrpl11;Mrpl51;Eral1;Mrps26;Mrpl46;Mrpl19;Mrps22;Mrps11;Mrps27
REACTOME_MITOCHONDRIAL_TRANSLATION	2.5585387480419e-11	8.25768380930524e-09	0.863415391606693	-0.569098118879243	-2.4843510815813	93	Mrps21;Mrpl14;Mrps28;Mrps6;Mrps7;Mrpl42;Mrpl28;Mrps17;Mrps12;Mrpl34;Mrpl41;Mrps33;Mrpl40;Mrps25;Mrpl35;Mrpl32;Gadd45gip1;Mrpl15;Mrps36;Mrpl21;Mrpl3;Mrpl49;Mrpl12;Mrpl45;Mrpl13;Ndufab1;Mrps24;Mrps2;Mrpl16;Mrps18c;Mrps18a;Mrpl36;Gfm1;Mrpl48;Mrpl58;Mrpl50;Mrpl44;Mrps30;Mrpl38;Mrps31;Mrps15;Mrpl18;Mrps10;Mrpl11;Mrpl51;Eral1;Mrps26;Mrpl46;Mtrf1l;Mrpl19;Mrps22;Mrps11;Mrps27;Mrpl55;Mrpl57;Mrpl23;Mrrf;Aurkaip1;Mrps35;Mrpl4;Mrpl27;Mrpl22;Mrpl1
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	5.24953283563999e-11	1.14746355410063e-08	0.851339057116899	-0.504310568776555	-2.35166823457433	131	Rps18;Eloc;Ube2d2a;Rps12;Rps5;Rpl36al;Rps21;Rbx1;Rpl13;Rpl37a;Rpl23a;Rps27a;Rpl35;Psmd6;Rps24;Rpsa;Rps2;Rps23;Rpl13a;Rps4x;Rpl9;Ubb;Rpl37;Rpl22;Rpl11;Ube2d3;Rpl27a;Fau;Rps8;Abce1;Psmc5;Psma1;Psmb1;Rpl8;Rps3a1;Ube2d1;Uba52;Rps11;Hbs1l;Rplp0;Rpl38;Rps13;Psma4;Rpl28;Rpl21;Rpl6;Rplp2;Psmc4;Rps10;Rps28;Rpl35a;Psmb7;Rpl31;Rps6;Rpl14;Psmd7;Rpl5;Rpl32;Rps17;Psmb6;Rplp1;Pelo;Nemf;Rpl27;Elob;Rpl12;Rpl34;Rps14;Psma5;Rps9;Ubc;Rps25;Psmc2;Rps29;Rps15;Rps26;Rps3;Rpl18a;Gm6525;Psmc6;Rpl36a;Trip4;Rpl30;Rps7;Rps16;Rpl24;Rps20;Psmd14;Psma3;Rpl19;Rpl18;Psmd11;Rpl7
REACTOME_COMPLEX_I_BIOGENESIS	5.33290575104863e-11	1.14746355410063e-08	0.851339057116899	-0.658075862711061	-2.60693655233317	57	Ndufb10;Ndufaf5;Ndufaf4;Pyurf;Timmdc1;Ndufb3;Ndufaf2;Ndufs8;Ndufa13;Ndufb8;Ndufs5;Ndufaf1;Tmem126b;Ndufb7;Tmem186;Ndufb1;Ecsit;Ndufa2;Ndufab1;Hspa9;Ndufs7;Ndufv3;Ndufa1;Ndufa8;Ndufs6;Ndufv2;Ndufb11;Ndufs4;Ndufs3;Ndufb5;Ndufc2;Ndufc1;Ndufa7;Ndufb2;Ndufa10;Ndufaf8;Hscb;Ndufa3;Ndufa9;Dmac1;Ndufa5;Ndufb4;Ndufa6;Lyrm2;Ndufb9;Ndufv1;Ndufaf3;Ndufs1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	6.50741843376924e-11	1.20015388542801e-08	0.839088935621274	-0.519189002742398	-2.37055488509779	123	Ndufb10;Ndufaf5;Ndufaf4;Pyurf;Timmdc1;Uqcrb;Ndufb3;Uqcr11;Ndufaf2;Coa5;Ndufs8;Ndufa13;Ndufb8;Ndufs5;Higd1a;Ndufaf1;Tmem126b;Ttc19;Lyrm4;Ndufb7;Tmem186;Cox7c;Uqcr10;Ndufb1;Ecsit;Cox5a;Ndufa2;Ndufab1;Sco1;Hspa9;Rab5if;Ndufs7;Ndufv3;Ndufa1;Tmem177;Ndufa8;Cycs;Ndufa4;Slc25a11;Coq10b;Ndufs6;Ndufv2;Ndufb11;Smim20;Ndufs4;Ndufs3;Uqcrfs1;Ndufb5;Ndufc2;Ndufc1;Cox7b;Mdh2;Cox6a1;Mdh1;Cox16;Ndufa7;Cox18;Cox7a2;Cox14;Uqcrh;Ndufb2;Cox17;Ndufa10;Ndufaf8;Nfs1;Hscb;Ndufa3;Cox4i1;Uqcrq;Cox6b1;Ndufa9;Dmac1;Ndufa5;Cox7a2l;Ndufb4;Cox5b;Ndufa6;Uqcrc1;Lyrm2;Cox19
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	7.18623971423912e-10	1.03268023760885e-07	0.801215574617779	-0.438164277324912	-2.14115554023798	170	Emg1;Exosc6;Pno1;Mphosph10;Utp6;Wdr12;Wdr18;Rps18;Rpp38;Nol11;Rps12;Rps5;Rpl36al;Pes1;Exosc3;Rpp40;Rps21;Rpl13;C1d;Rpl37a;Rpp21;Rpl23a;Snu13;Rpl35;Fbl;Bop1;Rps24;Rpsa;Rps2;Rps23;Rpl13a;Rps4x;Rpl9;Exosc4;Ubb;Rpl37;Rpl22;Rpl11;Rpl27a;Fau;Rps8;Eri1;Utp18;Rrp7a;Utp11;Rpp30;Rpl8;Rps3a1;Uba52;Rps11;Dcaf13;Nop56;Rplp0;Ebna1bp2;Exosc5;Rpl38;Rps13;Bms1;Rpl28;Pwp2;Rpl21;Rpl6;Rplp2;Rps10;Rps28;Utp3;Rpl35a;Tbl3;Rpl31;Rps6;Bud23;Rpl14;Rpl5;Rpl32;Rps17;Exosc7;Rplp1;Exosc1;Wdr3;Rpl27;Rpl12;Rpl34;Fcf1;Krr1;Riok3;Mtrex;Rps14;Dhx37;Las1l;Rps9;Rps25;Rps29;Rps15;Rps26;Rps3;Rpl18a;Gm6525;Rpl36a;Rpl30;Senp3;Rps7;Ddx21;Rps16;Rpl24;Wdr46
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	7.19916509564649e-10	1.03268023760885e-07	0.801215574617779	-0.511356569531667	-2.30957379620931	111	Eif2b3;Rps18;Eif4e;Rps12;Rps5;Rpl36al;Eif3i;Eif2b5;Rps21;Rpl13;Eif4a2;Rpl37a;Rpl23a;Rpl35;Eif1ax;Rps24;Rpsa;Rps2;Rps23;Rpl13a;Rps4x;Rpl9;Ubb;Eif5b;Rpl37;Rpl22;Eif2b4;Rpl11;Rpl27a;Fau;Rps8;Rpl8;Rps3a1;Uba52;Rps11;Rplp0;Rpl38;Rps13;Rpl28;Rpl21;Rpl6;Rplp2;Rps10;Rps28;Rpl35a;Eif2s2;Eif3g;Rpl31;Rps6;Eif2b1;Rpl14;Rpl5;Rpl32;Rps17;Rplp1;Eif3j1;Rpl27;Rpl12;Rpl34;Rps14;Eif3l;Eif3a;Rps9;Rps25;Rps29;Rps15;Rps26;Rps3;Rpl18a;Gm6525;Rpl36a;Rpl30;Pabpc1;Rps7;Rps16;Rpl24;Eif3h;Rps20;Rpl19;Rpl18;Eif5;Rpl7;Rps15a;Eif3k
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	1.29781422746807e-09	1.67547816766128e-07	0.788186810800237	-0.508349626386714	-2.29254686324182	107	Ncbp2;Smg8;Upf2;Rbm8a;Rps18;Upf3a;Rps12;Rps5;Rpl36al;Rps21;Rpl13;Rpl37a;Rpl23a;Rpl35;Ncbp1;Rps24;Rpsa;Rps2;Rps23;Rpl13a;Rps4x;Rpl9;Ubb;Rpl37;Rpl22;Rpl11;Rpl27a;Fau;Rps8;Rpl8;Rps3a1;Uba52;Rps11;Rplp0;Magoh;Rpl38;Rps13;Rpl28;Rpl21;Rpl6;Magohb;Rplp2;Rps10;Rps28;Rpl35a;Rpl31;Rps6;Rpl14;Upf3b;Rpl5;Rpl32;Rps17;Rplp1;Rpl27;Rpl12;Rpl34;Rps14;Gspt1;Rps9;Rps25;Rps29;Rps15;Rps26;Rps3;Rpl18a;Gm6525;Rpl36a;Rpl30;Pabpc1;Rps7;Rps16;Rpl24;Rps20
