pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_TRANSLATION	6.37824724969021e-12	8.25345194109913e-09	0.887074988399873	0.468929894888136	2.05973230038146	276	Rps27l;Rps19;Mrpl33;Malsu1;Mrpl54;Mrps34;Mrpl43;Chchd1;Psmb2;Rpl22l1;Rps27;Mrpl30;Psmb5;Mrps16;Mrpl37;Eif3c;Dap3;Psmb4;Eif3f;Eif4b;Eef1a1;Srp54a;Rpl39;Mtrf1;Rpl3;Rpl26;Rpl10;Eef2;Mrpl10;Eif2b2;Rps15a;Rps28;Psma2;Mrps14;Mrpl24;Rps15;Rpl18;Rps29;Rpl38;Rps20;Rpl36a;Rplp2;Rpl37a;Mrpl17;Psmb3;Aurkaip1;Ppa2;Rpl39l;Rps2;Rpl18a;Rpl32;Psmd13;Rplp1;Psma6;Rpl19;Mrpl52;Rps26;Eif3m;Ubc;Rpl23;Rpl15;Mrpl2;Rpl24;Rchy1;Mrpl27;Rpl7;Srp72;Rps21;Ndufab1;Mrpl53;Eif3k;Rps3;Mrpl51;Rps13;Mrps35;Eef1b2;Fau;Rpl27;Mrps26;Eif4ebp1;Mrpl11;Rpl36al;Rpl14;Psmb7;Rps14;Rps17;Rplp0;Rpl34;Mrpl12;Rpl30;Psmd8;Mrps24;Eif3h;Rps16;Rps9;Rpl11;Rpl28;Oxa1l;Uba52;Rpl4;Psmc1;Rps24;Rpl12;Mrpl46;Rpl5;Mrpl47;Mrpl9;Psmc2;Rps7;Mrps18c;Mrpl20;Eif3e;Psma3;Mrpl13;Mrps22;Psmd14;Rps6;Mrpl23;Mrpl18;Eif4h;Psmc3;Rpl27a;Rps25;Psma7;Mrpl15;Rpl9;Rps4x;Mrrf;Rpl8;Rpsa;Mrpl22;Mrpl58;Rpl13;Psmb1;Mrpl57;Eif3d;Mrps30;Rps12;Apeh;Rpl35a;Eif2s2;Rps5;Rpl37;Psmd3;Rps27a;Mrpl36;Ppa1;Rps10;Mrpl28;Mrps23;Elob;Psmb6;Eif3g;Mrps5;Rpl23a;Eif3i;Rps23;Rpl13a;Mrpl4;Mrps18b;Psma4;Psmd12;Eif3l;Rpl29;Mrpl44;Mrps36;Rpl22;Mrpl42;Mrpl55;Mrpl50;Rpl6;Mrps15;Mrpl1;Rps18;Eif5b;Rps3a1;Mrps18a;Mrpl39
TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	2.84282333115255e-11	1.8393066952557e-08	0.863415391606693	0.507181357774251	2.15520079587661	193	Ccng1;Phlda3;Tnfrsf12a;Ly6a;Ly6e;Bax;Rps27l;H2-K1;2200002D01Rik;H2-D1;H2aj;Rps19;Bst2;Mgst1;Lgals1;B2m;Mif;Lgals3bp;Igfbp4;Cp;Xist;Aldh2;Dbi;Tmem252;Acox1;Tagln2;Nme1;Tkfc;Hao2;Tmbim4;Bola2;1110038B12Rik;Tmem256;Rpl41;Gcnt1;Sult1d1;Eny2;Spp1;Calml4;Rpl39;Myof;Esd;Uqcr10;S100a10;Rps15a;Itgav;Rps28;Hint1;Tmem176b;Timm13;Rpl38;Rpl36a;Rplp2;Cyba;Rps2;Rpl32;Rplp1;Gstm5;Rpl23;Fth1;Cstb;Cxcl16;C130074G19Rik;Grina;Mdk;Rps21;Uap1l1;Nme2;Rps13;Eef1b2;Cd63;Picalm;Rbis;Spink1;Rpl27;Gpx1;Guca2b;Cib1;Nus1;Rps17;Rplp0;Rack1;Ftl1;Krtcap2;Tpt1;Msra;Glyat;Rps16;Dhrs4;Fbp1;Eif6;Gipc2;Atox1;Rpl12;Tmem205;Tmem176a;Rida;Ldhb;4931406C07Rik;Ttc36;Gas5;Psmg4;Cltrn;Gpx3;Lgmn;Akr1a1;Khk;Akr7a5;Scp2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	1.11450369134548e-09	4.80722592200351e-07	0.788186810800237	0.552577524719325	2.22157185487211	123	Cox6b2;Lyrm7;Ndufa5;Etfb;Ndufs2;Cox6c;Etfdh;Ndufb6;Ndufa12;Ndufc1;Ndufa2;Cox4i1;Uqcrq;Cox6a1;Cox6b1;Ndufb9;Cox17;Ndufa6;Cox5b;Coa3;Ndufb2;Ndufaf6;Cox7a2;Ndufa3;Ndufa11;Uqcrh;Cox11;Ndufc2;Cox5a;Cox7c;Uqcr10;Ndufs6;Ndufb4;Cox7a1;Cox7b;Ndufa4;Ndufs4;Ndufa7;Got1;Uqcrfs1;Ndufv2;Ndufb1;Cox8a;Ndufv1;Ndufa1;Ndufb5;Uqcrc2;Etfa;Ndufb7;Mdh1;Uqcrc1;Cmc1;Uqcr11;Ndufa8;Nfs1;Ndufb3;Ndufab1;Ndufb8;Ndufaf7;Higd2a;Ndufs3;Ndufs7;Got2;Cyc1;Ndufa13;Smim20;Surf1;Ndufa9;Slc25a22;Dmac2;Slc25a11;Acad9;Cycs;Ndufb11;Iscu;Ndufs1;Mdh2;Dmac1;Slc25a12;Ndufaf3;Uqcrb
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	1.16153347835117e-08	3.75756080246603e-06	0.747739663149885	0.524864785366905	2.128358868229	132	Rps27l;Rps19;Psmb2;Rpl22l1;Rps27;Psmb5;Psmb4;Rpl39;Rpl3;Rpl26;Rpl10;Rps15a;Rps28;Psma2;Rps15;Rpl18;Rps29;Rpl38;Rps20;Rpl36a;Rplp2;Rpl37a;Psmb3;Rpl39l;Rps2;Rpl18a;Rpl32;Psmd13;Rplp1;Psma6;Rpl19;Rps26;Ubc;Rpl23;Rpl15;Rpl24;Rchy1;Rpl7;Rps21;Rps3;Rps13;Fau;Rpl27;Rpl36al;Rpl14;Psmb7;Rps14;Rps17;Rplp0;Rpl34;Rpl30;Psmd8;Rps16;Rps9;Rpl11;Rpl28;Uba52;Rpl4;Psmc1;Rps24;Rpl12;Rpl5;Psmc2;Rps7;Psma3;Psmd14;Rps6;Psmc3;Rpl27a;Rps25;Psma7;Rpl9;Rps4x;Rpl8;Rpsa;Rpl13;Psmb1;Rps12;Rpl35a;Rps5;Rpl37;Psmd3;Rps27a;Rps10;Elob;Psmb6;Rpl23a;Rps23;Rpl13a;Psma4;Psmd12;Rpl29
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	1.78006731366192e-08	4.60681420775704e-06	0.73376198835648	0.462220685680445	1.97113640589134	204	Cox6b2;Pdk4;Ucp2;Lyrm7;Ucp3;Sdhaf1;Ndufa5;Etfb;Pdk1;Ndufs2;Cox6c;Etfdh;Ndufb6;Ndufa12;Ndufc1;Ndufa2;Me3;Cox4i1;Uqcrq;Cox6a1;Cox6b1;Ndufb9;Cox17;Sdhb;Ndufa6;Suclg1;Cox5b;Coa3;Ndufb2;Ndufaf6;Cox7a2;Ndufa3;Ndufa11;Uqcrh;Cox11;Ndufc2;Cox5a;Cox7c;Uqcr10;Ndufs6;Ndufb4;Cox7a1;Cox7b;Ndufa4;Ndufs4;Ndufa7;Got1;Slc25a4;Uqcrfs1;Ndufv2;Ndufb1;Cox8a;Ndufv1;Ndufa1;Ndufb5;Uqcrc2;Idh2;Atp5pb;Etfa;Ndufb7;Mdh1;Ubc;Uqcrc1;Cmc1;Uqcr11;Ndufa8;Nfs1;Ndufb3;Ndufab1;Ndufb8;Ndufaf7;Higd2a;Ndufs3;Dld;Ndufs7;Got2;Pdhx;Cyc1;Fahd1;Ndufa13;Smim20;Surf1;Sdhd;Ndufa9;Slc25a22;Dmac2;Slc25a11;Sdhc;Acad9;Cycs;Trap1;Ndufb11;Iscu;Suclg2;Uba52;Sirt3;Idh3g;Idh3a;Isca2;Ndufs1;Mdh2;Fh1;Dmac1;Ldhb;Slc25a12;Pcx;Ndufaf3;Uqcrb;Dlat;Idh3b;Ldhal6b;Sdhaf2;Sucla2;Fxn;Gstz1;Ndufa10;Slc25a27;Acat1;Ndufs5;Nubpl;Rps27a;Ndufs8;Pdha1;Cox19;Ndufv3;Ndufb10;Slc25a13;Lyrm4;Cox14;Mrps36;Rab5if;Armc8;Ranbp9;Cox16;Gpt;Coq10a;Cox6a2
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	6.30600484810814e-08	1.35999504557532e-05	0.704975715167238	-0.617578615898523	-2.47707022463456	48	Dynll2;Hspa1b;Hspa1a;Dnaja4;Dnaja1;Dync1i1;Stip1;Dnajb1;Nr3c1;Tubb2b;Tubb4a;Ptges3;Hsp90aa1;Tubb2a;Hspa8;Dync1li2;Hsp90ab1;Fkbp4;Tubb1;Dctn5;Hspa1l;Hspa2
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	9.89929429113391e-08	1.82995525896104e-05	0.704975715167238	0.528714273337304	2.10264596381398	112	Rps27l;Rps19;Rpl22l1;Rps27;Eif3c;Eif3f;Eif4b;Rpl39;Rpl3;Rpl26;Rpl10;Eif2b2;Rps15a;Rps28;Rps15;Rpl18;Rps29;Rpl38;Rps20;Rpl36a;Rplp2;Rpl37a;Rpl39l;Rps2;Rpl18a;Rpl32;Rplp1;Rpl19;Rps26;Eif3m;Rpl23;Rpl15;Rpl24;Rpl7;Rps21;Eif3k;Rps3;Rps13;Fau;Rpl27;Eif4ebp1;Rpl36al;Rpl14;Rps14;Rps17;Rplp0;Rpl34;Rpl30;Eif3h;Rps16;Rps9;Rpl11;Rpl28;Uba52;Rpl4;Rps24;Rpl12;Rpl5;Rps7;Eif3e;Rps6;Eif4h;Rpl27a;Rps25;Rpl9;Rps4x;Rpl8;Rpsa;Rpl13;Eif3d;Rps12;Rpl35a;Eif2s2;Rps5;Rpl37;Rps10;Eif3g;Rpl23a;Eif3i;Rps23;Rpl13a;Eif3l;Rpl29;Rpl22;Rpl6;Rps18;Eif5b;Rps3a1
REACTOME_ZNF598_AND_THE_RIBOSOME_ASSOCIATED_QUALITY_TRIGGER_RQT_COMPLEX_DISSOCIATE_A_RIBOSOME_STALLED_ON_A_NO_GO_MRNA	1.93211934621782e-07	2.78006546971388e-05	0.690132458796796	0.5524431778579	2.10372770038069	89	Rps27l;Rps19;Rpl22l1;Rps27;Rpl39;Rpl3;Rpl26;Rpl10;Rps15a;Rps28;Rps15;Rpl18;Rps29;Rpl38;Rps20;Rpl36a;Rplp2;Rpl37a;Rpl39l;Rps2;Rpl18a;Rpl32;Rplp1;Rpl19;Rps26;Ubc;Rpl23;Rpl15;Rpl24;Rpl7;Rps21;Rps3;Rps13;Fau;Rpl27;Rpl36al;Rpl14;Rps14;Rps17;Rplp0;Rpl34;Rpl30;Rps16;Rps9;Rpl11;Rpl28;Uba52;Rpl4;Rps24;Rpl12;Rpl5;Rps7;Rps6;Rpl27a;Rps25;Rpl9;Rps4x;Rpl8;Rpsa;Rpl13;Rps12;Rpl35a;Rps5;Rpl37;Rps27a;Rps10;Rpl23a;Rps23;Rpl13a
REACTOME_RHO_GTPASE_EFFECTORS	1.93358494802356e-07	2.78006546971388e-05	0.690132458796796	-0.353384354498206	-1.81047530725326	239	Pak1;Dynll2;Srf;Kif5b;Dync1i1;Klc2;Rhpn1;Mis12;Tubb2b;Tubb4a;Ncf2;Klc1;Mylk;Tubb2a;Ncf1;Ctnnb1;Ywhah;Mapk14;Dync1li2;Wasf3;Evl;Rhoq;Sgo2a;Iqgap2;Xpo1;Wipf1;Sfn;Tubb1;Rhpn2;Ptk2;Ywhag;Nf2;Bub1b;Fmnl2;Fmnl3;Nde1;Calm3;Ncf4;Calm2;Iqgap3;Klc4;Ppp2r5a;Myl9;Myh10;Clasp2;Nuf2;Abl1;Flna;Ppp2r1b;Myh11;Scai;Prc1;S100a9;Cenpl;Actb;Ckap5;Nsl1;Dvl3;Nck1;Cenpe;Cenph;Zw10;Nox3;Ppp1r12b;Clasp1;Ncoa2;Ppp1cb;Pdpk1;Seh1l;Ctnna1;Cybb;Nckipsd;Dvl2;Dynll1;Limk1;Rangap1;Dlg4;Dync1li1;Pafah1b1;Incenp;Lin7b;Srgap2;Mapre1;Aurkb;Rock1;Cenpo;Mad1l1;Wipf3;Ahctf1;Grb2;Taok1
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	1.07674287573897e-06	0.000139330528120622	0.643551836150722	0.537355121229986	2.05703180411104	92	Psmb2;Rpl22l1;Psmb5;Psmb4;Rpl39;Rpl3;Rpl26;Rpl10;Psma2;Rpl18;Rpl38;Rpl36a;Rplp2;Rpl37a;Psmb3;Rpl39l;Rpl18a;Rpl32;Psmd13;Rplp1;Psma6;Rpl19;Ubc;Rpl23;Rpl15;Rpl24;Rchy1;Rpl7;Rpl27;Rpl36al;Rpl14;Psmb7;Rplp0;Rpl34;Rpl30;Psmd8;Rpl11;Rpl28;Uba52;Rpl4;Psmc1;Rpl12;Rpl5;Psmc2;Psma3;Psmd14;Psmc3;Rpl27a;Psma7;Rpl9;Rpl8;Rpl13;Psmb1;Rpl35a;Rpl37;Psmd3;Rps27a;Elob;Psmb6;Rpl23a;Rpl13a;Psma4;Psmd12;Rpl29;Rpl22
