pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	2.73560654816083e-06	0.00331080440330119	0.627256739718528	-0.628212479719563	-2.00118247078383	81	Hspa1b;Hspa1a;Hsph1;Hsp90aa1;Dnajb1;Hspa4l;Fkbp4;Hspa8;Hsp90ab1;Bag3;Ptges3;Hikeshi;Hspa1l;St13;Hspb8;Hspa5;Nup210;Hspa4
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	6.49519089558668e-06	0.00331080440330119	0.610526878385931	-0.726262337014236	-2.08702857256301	42	Hspa1b;Hspa1a;Hspb1;Hspa8
REACTOME_ATTENUATION_PHASE	7.75364028876157e-06	0.00331080440330119	0.593325476396405	-0.89986671356936	-1.92707340733781	13	Hspa1b;Hspa1a;Hsp90aa1;Dnajb1;Fkbp4;Hspa8;Hsp90ab1;Ptges3;Hspa1l
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	1.80698176085134e-05	0.0057868590891264	0.575610261071129	-0.646559676477989	-1.97646602541254	62	Hspa1b;Hspa1a;Hsph1;Dnajb1;Hspa4l;Hspa8;Bag3;Hikeshi;Hspa1l;St13;Hspa5;Nup210;Hspa4
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	7.4917800085752e-05	0.0191939403819697	0.538434096309916	-0.798748942168963	-1.98551488869821	23	Hspa1b;Hspa1a;Hsp90aa1;Dnajb1;Fkbp4;Hspa8;Hsp90ab1;Ptges3;Hspa1l;Hspb8
REACTOME_COMPLEX_I_BIOGENESIS	0.000165470734971574	0.035328001916431	0.518848077743792	-0.605214581379429	-1.7525288615238	57	Ndufaf2;Ndufaf5;Ndufb10;Ndufaf4;Ndufs8;Ndufa13;Pyurf;Ndufaf1;Tmem126b;Ndufb1;Ndufb7;Ndufb8;Ndufs5;Ndufb3;Tmem186;Timmdc1;Ndufab1;Ndufa2;Ecsit;Hspa9;Ndufc2;Ndufa1;Ndufv2;Ndufv3;Ndufb5;Ndufaf8;Ndufc1;Ndufa8;Ndufs6;Ndufs7;Ndufa7;Ndufs4;Ndufb2;Ndufs3;Ndufb11;Dmac1;Hscb;Ndufa3;Ndufb4;Ndufa10;Ndufa9;Ndufa5;Ndufaf3;Ndufb9;Lyrm2;Ndufs1;Nubpl;Ndufa6;Ndufb6
REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	0.000201664064734123	0.0369045238463446	0.518848077743792	-0.519224279613246	-1.64845748791633	88	Mrps28;Mrps6;Mrps21;Mrpl14;Mrpl34;Mrps12;Mrpl28;Mrpl41;Mrpl32;Mrpl40;Mrpl35;Mrpl12;Mrpl42;Mrps33;Mrps17;Mrps7;Mrps36;Mrpl13;Ndufab1;Mrps25;Mrps18c;Gadd45gip1;Mrpl15;Mrpl16;Mrpl21;Mrps2;Mrpl49;Mrpl50;Mrpl45;Mrps18a;Mrpl3;Mrpl36;Mrps24;Mrpl48;Mrps31;Mrpl11;Mrpl58;Mrpl46;Mrpl51;Mrpl18;Mrpl44;Mrps30;Mrpl23;Mrps15;Mrpl55;Mrps27;Mrps10;Mrps22;Mrps26;Mrpl57;Eral1;Mrpl19;Mrpl1;Mrpl38;Mrps11;Mrps35;Mrpl52;Aurkaip1;Mrpl27;Mrpl4
REACTOME_MITOCHONDRIAL_TRANSLATION	0.000263932861355387	0.0388563601515224	0.49849310876659	-0.511138779186636	-1.63135819813094	93	Mrps28;Mrps6;Mrps21;Mrpl14;Mrpl34;Mrps12;Mrpl28;Mrpl41;Mrpl32;Mrpl40;Mrpl35;Mrpl12;Mrpl42;Mrps33;Mrps17;Mrps7;Mrps36;Mrpl13;Ndufab1;Mrps25;Mrps18c;Gadd45gip1;Mrpl15;Mrpl16;Mrpl21;Mrps2;Mrpl49;Mrpl50;Mrpl45;Mrps18a;Mrpl3;Mrpl36;Gfm1;Mrps24;Mtrf1l;Mrpl48;Mrps31;Mrpl11;Mrpl58;Mrpl46;Mrpl51;Mrpl18;Mrpl44;Mrps30;Mrpl23;Mrps15;Mrpl55;Mrps27;Mrps10;Mrps22;Mrps26;Mrpl57;Eral1;Mrpl19;Mrpl1;Mrpl38;Mrps11;Gfm2;Mrps35;Mrpl52;Aurkaip1;Mrpl27;Mrpl4;Mrpl22;Mrrf
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.000296881121064297	0.0388563601515224	0.49849310876659	-0.457651855418178	-1.49382702216352	123	Cox6a2;Ndufaf2;Ndufaf5;Ndufb10;Ndufaf4;Lyrm4;Uqcrb;Cox20;Ndufs8;Ndufa13;Pyurf;Ndufaf1;Tmem126b;Cox7c;Cox5a;Ndufb1;Uqcr11;Tmem177;Ndufb7;Ndufb8;Uqcr10;Cycs;Ndufs5;Ndufb3;Tmem186;Slc25a13;Mdh1;Timmdc1;Higd1a;Uqcrfs1;Ndufab1;Ndufa2;Ecsit;Coq10b;Hspa9;Ttc19;Ndufc2;Sco1;Coa5;Ndufa1;Ndufv2;Ndufa4;Cox16;Ndufv3;Smim20;Ndufb5;Ndufaf8;Ndufc1;Ndufa8;Ndufs6;Ndufs7;Cox7a1;Ndufa7;Rab5if;Ndufs4;Ndufb2;Uqcrh;Ndufs3;Cox7b;Uqcrq;Ndufb11;Cox6a1;Dmac1;Hscb;Slc25a11;Cox6b1;Cox4i1;Cox17;Cox7a2;Ndufa3;Cox14;Cox18;Ndufb4;Ndufa10;Ndufa9;Ndufa5;Mdh2;Nfs1;Timm21;Ndufaf3;Cox5b;Cox7a2l;Etfa;Cox19;Uqcrc1;Ndufb9;Lyrm2;Ndufs1;Nubpl;Ndufa6;Ndufb6;Cox4i2
REACTOME_ION_CHANNEL_TRANSPORT	0.000303328338419379	0.0388563601515224	0.49849310876659	0.616419409201055	1.4374089590474	169	Atp12a;Trpm8;Trpc7;Trpa1;Clca1;Unc80;Atp13a5;Atp2c2;Clca2;Atp2b3;Atp13a4;Ano3;Stoml3;Best1;Trpc5;Nalcn;Ryr2;Trpv6;Trpm1;Ryr1;Ano4;Trpm5;Atp1a4;Camk2b;Atp10b;Trpv3;Slc9b2;Atp2a1;Atp8b4;Fxyd7
