pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_TRANSLATION	1.71453603336089e-19	2.21346601906891e-16	1.14219120216838	0.540980422998461	2.43505003889793	275	Rps27l;Mrps18b;Mrpl33;Eif2s1;Psmd8;Mrpl54;Psmd12;Psmd11;Eif4a1;Mrpl45;Psmd13;Rps19;Psma6;Rpl36al;Eif3c;Eif4ebp1;Ppa1;Psmd1;Mrpl30;Psmc2;Psma3;Psmd14;Srp72;Mrpl52;Psmc3;Etf1;Rplp0;Psma1;Gspt1;Psma2;Psmb7;Mrpl20;Psmd7;Chchd1;Psmc1;Mrpl47;Eif2s2;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Elob;Rps2;Psmb2;Psma4;Abce1;Rpl23;Eif3b;Eif3e;Eif3d;Aurkaip1;Eef1a1;Rpl19;N6amt1;Psmb6;Eif4g1;Mrpl17;Rpl24;Psmb3;Mrps34;Eif4h;Srp19;Malsu1;Mrps18a;Psmb1;Rpl36a;Mrps18c;Rpl39;Ube2d2a;Mrpl21;Rpl12;Rpl3;Mrps22;Mrpl3;Psmc5;Eloc;Mrps30;Rchy1;Rpl6;Rpl22l1;Rps27;Mrpl55;Ube2d3;Mrpl46;Mrpl10;Mrps10;Ubc;Rpl15;Mrps23;Mrrf;Srp9;Mrpl23;Psmd3;Mrpl15;Eif3i;Eif3g;Rpl11;Mrpl27;Mrpl51;Eif2b3;Eif3l;Mrps16;Eif5b;Rps20;Eif2s3x;Mrpl57;Rpl27;Rpl38;Eif5;Rps9;Rps25;Rps15a;Rps7;Mrpl39;Rps17;Rps14;Mrpl9;Mrps9;Mrpl40;Rps6;Mrpl11;Rps26;Mrps26;Rpl7;Mrps11;Mrpl2;Mrps5;Eif3a;Dap3;Mrpl32;Eif1ax;Ubb;Eif3j1;Cul2;Ascc3;Rpl4;Mrps31
REACTOME_PROTEASOME_ASSEMBLY	3.00274240494457e-14	1.93827022239172e-11	0.965327754226083	0.786176811345057	2.69895282920372	47	Psmd8;Psme2;Psmb8;Psmd12;Psmd11;Psmb10;Psmd13;Psma6;Psmd1;Psmc2;Psma3;Psme1;Psmd14;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmd4;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psme3;Psmc5;Pomp;Psmg4;Psmd3;Psmg2
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	1.92301371051668e-13	5.91673797348303e-11	0.943632225232838	0.726567026330484	2.62253026709502	60	Cdkn1a;Gtse1;Tubb6;Psmd8;Tuba1a;Psmd12;Psmd11;Psmd13;Psma6;Trp53;Mapre1;Psmd1;Psmc2;Psma3;Tuba3b;Psmd14;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Tubb4b;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Tubb3;Psmc5
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	2.47447260987268e-13	5.91673797348303e-11	0.932595211336209	0.818993335496861	2.68601761878968	37	Psmd8;Psmd12;Psmd11;Psmd13;Psma6;Oaz3;Psmd1;Psmc2;Psma3;Psmd14;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Nqo1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psmc5
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	2.59411909827885e-13	5.91673797348303e-11	0.932595211336209	0.792976701466419	2.62330207554896	40	Psmd8;Psme2;Psmb8;Psmd12;Psmd11;Psmb10;Psmd13;Psma6;Mrc1;Psmd1;Psmc2;Psma3;Psme1;Psmd14;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psmc5
REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	2.74983949193634e-13	5.91673797348303e-11	0.932595211336209	0.653656550139255	2.53956885070961	91	Psmd8;Psmd12;Psmd11;Psmd13;Psma6;Rpl36al;Psmd1;Psmc2;Psma3;Psmd14;Psmc3;Rplp0;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Elob;Psmb2;Psma4;Rpl23;Rpl19;Psmb6;Rpl24;Psmb3;Psmb1;Rpl36a;Rpl39;Ube2d2a;Rpl12;Rpl3;Psmc5;Eloc;Rchy1;Rpl6;Rpl22l1;Ubc;Rpl15
REACTOME_METABOLISM_OF_POLYAMINES	3.63506470819914e-13	6.70409791183585e-11	0.932595211336209	0.768147073673841	2.60965068315745	45	Psmd8;Psmd12;Psmd11;Psmd13;Psma6;Oaz3;Sat1;Psmd1;Psmc2;Psma3;Psmd14;Psmc3;Azin2;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Nqo1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psmc5;Smox
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	1.21756649527858e-12	1.94981492536325e-10	0.910119734774459	0.779192013170149	2.62102572141832	44	Nfkb2;Relb;Ube2m;Psmd8;Psmd12;Psmd11;Psmd13;Psma6;Psmd1;Psmc2;Psma3;Psmd14;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Map3k14;Psmb4;Psmd6;Adrm1;Chuk;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psmc5;Ubc;Uba3;Psmd3
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1.35928228724007e-12	1.94981492536325e-10	0.910119734774459	0.72108758313017	2.61106356058628	58	B2m;Psmd8;Psme2;Psmb8;Psmd12;Psmd11;H2-Q10;Psmb10;Psmd13;Psma6;Mrc1;Psmd1;Psmc2;Psma3;Psme1;Psmd14;Itgav;Psmc3;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;H2-M3;Psmb1;Psmc5
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1.67431558754575e-12	2.16154142352156e-10	0.910119734774459	0.427646246616965	2.00378061136872	426	Eda2r;Tnfrsf12a;Tnfsf15;Lif;Gbp2;Osmr;Tubb6;Socs3;Nfkbia;Nfkb2;Mapkapk3;Il4ra;Map3k8;Relb;Socs2;Fos;Ube2m;Camk2b;Psmd8;Sphk1;Birc3;Nfkbib;Dusp6;Tuba1a;Sqstm1;Stat3;Irs2;Psmd12;Isg15;Myd88;Psmd11;Gsdmd;Eif4a1;Socs1;Ptpn2;Rela;Ifngr1;Il33;Psmd13;Pik3r3;Psma6;Trp53;Il1r1;Irf9;Il1a;Nlrc5;Il18bp;Tnfrsf1a;Irak3;Psmd1;Psmc2;Gbp5;Pik3cb;Psma3;Tuba3b;Il1rn;Psmd14;Eif2ak2;Fkbp5;Stx3;Stat2;Psmc3;Crlf1;Psma1;Mapkapk2;Usp18;Psma2;Il6;Psmb7;Il2rg;Psmd7;Il12b;Psmc1;Map3k14;Il12rb1;Psmb4;Tubb4b;Pde12;Ube2v1;Npm1;Ppp2ca;Psmd6;Ifngr2;Adrm1;Camk2d;Chuk;Psmc6;Ube2l6;Psma7;Psmc4;Ripk2;Psma5;Psmd2;Elob;Psmb2;Psma4;Jun;Abce1;Kpnb1;Il20rb;Hras;Map3k7;N4bp1;Psmb6;Eif4g1;Eif4e2;Birc2;Psmb3;Flt3l;Il1rapl1;Tnfsf18;Ifnlr1;Eif4a3;Psmb1;Map2k3;Dhx9;Tnfsf8;Ube2d2a;Il23r;Plcg1;Tubb3;Psmc5;Mapk10;Akt1;Eloc;Il7;Oasl1;Sla2
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274	1.93969092964015e-12	2.2764918092413e-10	0.898671232061694	0.773593078366158	2.58210690388083	42	Cd274;Psmd8;Psmd12;Psmd11;Psmd13;Psma6;Psmd1;Psmc2;Psma3;Psmd14;Psmc3;Cops5;Psma1;Psma2;Psmb7;Psmd7;Psmc1;Psmb4;Psmd6;Adrm1;Psmc6;Psma7;Psmc4;Psma5;Psmd2;Psmb2;Psma4;Psmb6;Psmb3;Psmb1;Psmc5
