pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	6.11195687587711e-36	7.89053632675735e-33	1.55654423323138	-0.664677278876075	-3.15291194279699	204	Cox7b;Ndufa10;Me3;Atp5pb;Dld;Idh3a;Cox7c;Nnt;Suclg2;Hspa9;Gstz1;Ndufv2;Fh1;Ndufs1;Cycs;Ndufb3;Ndufa9;Ndufa4;Suclg1;Cox5a;Uqcrb;Ndufs3;Mdh1;Pdhx;Sdhc;Ndufa5;Timmdc1;Ndufs4;Got2;Etfa;Pdhb;Sucla2;Cox5b;Cox7a1;Mdh2;Rab5if;Sdhb;Cox6c;Ndufb8;Ndufb9;Ndufb5;Ndufab1;Cox4i1;Uqcr10;Ndufaf4;Sco1;Ndufs8;Ndufb10;Ndufs6;Nubpl;Me1;Uqcrc2;Uqcrfs1;Ndufc1;Etfb;Acat1;Slc25a4;Ndufaf5;Ndufc2;Ldhb;Isca1;Sdhd;Ndufs5;Uqcr11;Cox6a1;Slc25a13;Uqcrq;Idh3b;Fahd1;Uqcrh;Ndufb6;Idh3g;Ndufaf1;Hscb;Cyc1;Dmac1;Cox6b1;Sdha;Trap1;Ndufa13;Cox7a2;Vdac1;Pdp2;Cox19;L2hgdh;Uqcrc1;Dlat;Etfdh;Ldha;Idh2;Dlst;Got1;Sdhaf4;Mrps36;Ndufb2;Pyurf;Ndufa8;Isca2;Adhfe1;Pgam5;Ndufa12;Hagh;Aco2;Ndufb11;Ndufs2;Ndufa1;Pdha1;Ndufb4;Cox8a;Ndufv1;Pm20d1;Slc25a11;Higd2a;Ttc19;Pcx;Ndufb1;Iscu;Ndufa2;Ndufb7;Cox17;Ndufa3;Ndufa6;Ndufv3;Dmac2l;Pdk1;Gpt;Acad9;Ecsit;Ubb;Ubc;Mkln1;Cox6a2;Ndufa7;Timm21;Pdk3;Cs;Cox6b2;Lyrm4;Cox7a2l
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	4.0978047901832e-30	2.64513299206326e-27	1.42456271623384	-0.610435897451174	-2.94845932022252	226	Ftcd;Asns;Psat1;Ddc;Sms;Bckdhb;Dio1;Gcsh;Bhmt;Dld;Qdpr;Dbt;Gstz1;Uroc1;Iyd;Echs1;Tstd1;Aldh6a1;Kynu;Slc25a21;Asl;Nqo1;Got2;Hibadh;Psmd6;Agxt2;Ivd;Txn2;Mccc2;Prodh2;Slc25a15;Ckmt1;Psma4;Gatm;Gcdh;Phgdh;Bbox1;Aldh7a1;Nags;Aspa;Glul;Hdc;Acat1;Hibch;Hoga1;Otc;Psmd14;Slc25a13;Folh1;Shmt1;Acad8;Auh;Slc6a8;Prodh;Acadsb;Mccc1;Kmo;Sardh;Grhpr;Psmd7;Oat;Aldh4a1;Aass;Ass1;Pipox;Dlst;Got1;Amd1;Mrps36;Gpt2;Pcbd1;Ckb;Pah;Gamt;Dmgdh;Azin1;Psmc4;Kyat1;Sqor;Psmc6;Psma5;Cbs;Adi1;Rida;Gnmt;Ethe1;Bckdha;Dao;Cth;Psph;Suox;Psma3;Slc25a10;Hgd;Mpst;Fah;Ahcy;Bhmt2;Dhtkd1;Tst;Hsd17b10;Ado;Aldh9a1;Gpt;Slc6a7;Fmo1;Rimklb;Gls;Psmb7;Psmd1;Crym;Sephs2;Ddo;Paox;Psmc1;Slc6a12;Psma6;Psmd13;Aspg;Hykk;Mtap;Psma1;Aadat;Tph2;Hpd;Psmc3;Haao;Psmd12;Psmd11;Carnmt1;Psmb6;Gldc;Scly;Agmat;Ogdh;Psmc2;Amdhd1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	4.68549666779021e-28	2.01632539937239e-25	1.37274298193398	-0.72116289716092	-3.18545448626679	123	Cox7b;Ndufa10;Cox7c;Hspa9;Ndufv2;Ndufs1;Cycs;Ndufb3;Ndufa9;Ndufa4;Cox5a;Uqcrb;Ndufs3;Mdh1;Ndufa5;Timmdc1;Ndufs4;Got2;Etfa;Cox5b;Cox7a1;Mdh2;Rab5if;Cox6c;Ndufb8;Ndufb9;Ndufb5;Ndufab1;Cox4i1;Uqcr10;Ndufaf4;Sco1;Ndufs8;Ndufb10;Ndufs6;Nubpl;Uqcrc2;Uqcrfs1;Ndufc1;Etfb;Ndufaf5;Ndufc2;Ndufs5;Uqcr11;Cox6a1;Slc25a13;Uqcrq;Uqcrh;Ndufb6;Ndufaf1;Hscb;Cyc1;Dmac1;Cox6b1;Ndufa13;Cox7a2;Cox19;Uqcrc1;Etfdh;Got1;Ndufb2;Pyurf;Ndufa8;Ndufa12;Ndufb11;Ndufs2;Ndufa1;Ndufb4;Cox8a;Ndufv1;Slc25a11;Higd2a;Ttc19;Ndufb1;Iscu;Ndufa2;Ndufb7;Cox17;Ndufa3;Ndufa6;Ndufv3;Acad9;Ecsit;Cox6a2;Ndufa7;Timm21;Cox6b2;Lyrm4;Cox7a2l;Cox18;Higd1a;Tmem186
REACTOME_TRANSLATION	6.82834144988709e-23	2.20384720295106e-20	1.23789667319529	-0.531615692935987	-2.61717931945131	275	Mrps18b;Mrpl15;N6amt1;Ppa2;Rps27l;Mrps9;Mrpl42;Mrps7;Mrpl39;Mrps22;Psmd6;Mrpl45;Mrpl3;Mrpl50;Ptcd3;Eif2b1;Mrps25;Ndufab1;Gfm1;Mrps35;Psma4;Mrpl22;Mrrf;Mrpl11;Rpl31;Mrpl12;Mrpl46;Psmd14;Rpl36al;Mrpl28;Mrps18c;Mrps26;Mrpl32;Mrps31;Mrps30;Ube2d1;Srp9;Psmd7;Mrps2;Mrps33;Ppa1;Mrps36;Gm6525;Mrpl30;Mrpl10;Mrpl21;Psmc4;Mrpl18;Eif2s1;Psmc6;Mrpl34;Mrpl35;Mrps10;Mrpl44;Eif1ax;Psma5;Mrps12;Abce1;Eif3e;Mrps21;Mrpl13;Eif5b;Eloc;Mrpl55;Mrpl33;Mrpl47;Cul2;Eif3j1;Mrpl41;Psma3;Rps2;Mrps11;Eef1d;Mrpl51;Ube2d3;Eif3i;Mrps23;Psmb7;Ubb;Nemf;Ubc;Mrps16;Psmd1;Mrps18a;Mrpl54;Mrpl27;Mrps6;Psmc1;Psma6;Eif4e;Psmd13;Mrpl1;Rpl22;Mtrf1l;Rbx1;Mrpl16;Mrps15;Psma1;Ube2d2a;Mrpl37;Mrps17;Mrps5;Mrpl40;Mrpl20;Mrpl2;Psmc3;Rpl6;Pelo;Mrpl9;Mrpl48;Mrpl53;Rpl35;Psmd12;Psmd11;Mrps24;Psmb6;Srp19;Gspt1;Eif2b3;Trmt112;Mrpl52;Eif2s2;Apeh;Psmc2;Elob;Eif4a2;Rpl11;Rplp0;Aurkaip1;Mrpl57;Rpl24;Psmb1;Rpl38;Rpl37a;Rpl5;Gadd45gip1;Psmc5;Rps13;Mrpl14;Mrpl49;Psmd8;Rps3a1;Rpl36a;Eef1g;Mrpl23;Trip4;Srp14;Rps26;Uba52;Rps27a;Eif3l;Eif3a;Mrpl43;Rps25;Chchd1;Adrm1;Rpl14;Eif5;Psma2;Rps17;Rps23;Rps6;Rpl9;Rps24
REACTOME_MITOCHONDRIAL_TRANSLATION	4.59155183125446e-18	1.1855386828299e-15	1.0959292864312	-0.684009235629921	-2.86208410099131	93	Mrps18b;Mrpl15;Mrps9;Mrpl42;Mrps7;Mrpl39;Mrps22;Mrpl45;Mrpl3;Mrpl50;Ptcd3;Mrps25;Ndufab1;Gfm1;Mrps35;Mrpl22;Mrrf;Mrpl11;Mrpl12;Mrpl46;Mrpl28;Mrps18c;Mrps26;Mrpl32;Mrps31;Mrps30;Mrps2;Mrps33;Mrps36;Mrpl30;Mrpl10;Mrpl21;Mrpl18;Mrpl34;Mrpl35;Mrps10;Mrpl44;Mrps12;Mrps21;Mrpl13;Mrpl55;Mrpl33;Mrpl47;Mrpl41;Mrps11;Mrpl51;Mrps23;Mrps16;Mrps18a;Mrpl54;Mrpl27;Mrps6;Mrpl1;Mtrf1l;Mrpl16;Mrps15;Mrpl37;Mrps17;Mrps5;Mrpl40;Mrpl20;Mrpl2;Mrpl9;Mrpl48;Mrpl53;Mrps24
REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	2.5474328395065e-17	5.48122632633815e-15	1.07686819261983	-0.683995897788679	-2.83639836213017	88	Mrps18b;Mrpl15;Mrps9;Mrpl42;Mrps7;Mrpl39;Mrps22;Mrpl45;Mrpl3;Mrpl50;Ptcd3;Mrps25;Ndufab1;Mrps35;Mrpl22;Mrpl11;Mrpl12;Mrpl46;Mrpl28;Mrps18c;Mrps26;Mrpl32;Mrps31;Mrps30;Mrps2;Mrps33;Mrps36;Mrpl30;Mrpl10;Mrpl21;Mrpl18;Mrpl34;Mrpl35;Mrps10;Mrpl44;Mrps12;Mrps21;Mrpl13;Mrpl55;Mrpl33;Mrpl47;Mrpl41;Mrps11;Mrpl51;Mrps23;Mrps16;Mrps18a;Mrpl54;Mrpl27;Mrps6;Mrpl1;Mrpl16;Mrps15;Mrpl37;Mrps17;Mrps5;Mrpl40;Mrpl20;Mrpl2;Mrpl9;Mrpl48;Mrpl53;Mrps24
REACTOME_COMPLEX_I_BIOGENESIS	1.85181032477387e-16	3.41526732754723e-14	1.04762648849882	-0.763684253295987	-2.9025093293147	57	Ndufa10;Hspa9;Ndufv2;Ndufs1;Ndufb3;Ndufa9;Ndufs3;Ndufa5;Timmdc1;Ndufs4;Ndufb8;Ndufb9;Ndufb5;Ndufab1;Ndufaf4;Ndufs8;Ndufb10;Ndufs6;Nubpl;Ndufc1;Ndufaf5;Ndufc2;Ndufs5;Ndufb6;Ndufaf1;Hscb;Dmac1;Ndufa13;Ndufb2;Pyurf;Ndufa8;Ndufa12;Ndufb11;Ndufs2;Ndufa1;Ndufb4;Ndufv1;Ndufb1;Ndufa2;Ndufb7;Ndufa3;Ndufa6;Ndufv3;Acad9;Ecsit
TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	3.69060932739806e-16	5.95572080208861e-14	1.03769615548758	-0.531406491420193	-2.50417750938653	193	Dnajc19;Mgst1;Mdk;Gsta2;Snx7;Gstm5;Nme2;Rps27l;Akr7a5;Scp2;Idh1;Pebp1;Eny2;Sfxn1;Nme1;Dhrs4;Fth1;Hint1;Arl6ip1;Ak2;Nus1;Uqcr10;4931406C07Rik;Calml4;Esd;Msra;Gc;Gatm;Miox;Lap3;Cd63;Cltrn;Gng12;Ufm1;Cib1;Ldhb;Akr1a1;Rbis;Ccng1;Gcnt1;Gpx1;Mif;Pdzk1ip1;Gipc2;Cyba;Spp1;Hao2;Acot13;Lgmn;Gss;Cat;Akr1c21;Khk;Ndrg1;Fermt1;Gpx3;Spink1;Pah;Cryz;Pter;Tmem252;Kap;Tmbim4;Slc5a2;Dbi;Slc25a39;Aldob;Ctsb;Iah1;H2aj;Cldn10;Tmem205;Selenop;Cyp2j5;Rida;Fut9;C130074G19Rik;Dhcr24;Slc34a1;Pdzk1;Timm13;Fbp1;Glyat;Acsm2;Cotl1;Sult1d1;Tkfc;Tmem256;Rps2;Ivns1abp;Ddah1;Slc4a4;Nhp2;Lamp1;Cndp2;Tmem174
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	4.89320310963649e-12	7.01902801615635e-10	0.887074988399873	0.463030455626055	2.27510355437916	248	Loxl1;Comp;Ltbp2;Mmp3;Emilin1;Emilin2;Icam1;Col4a4;Itgax;Sntb2;Bmp7;Col6a2;Serpine1;Col6a3;Mmp8;Adamts14;Itga3;Col5a1;Itga11;Itga5;Adam8;Plod1;Itgb2;Ctss;Bmp4;Sdc3;F11r;P3h2;Vwf;Mmp14;Agrn;Col9a3;Itgam;Timp2;Mmp17;Col4a5;Col9a1;Dag1;Itgal;Tgfb2;Sh3pxd2a;Plod2;Emilin3;Loxl3;Tnxb;Pxdn;Bcan;Col6a1;Col4a2;Col4a1;Loxl2;Itgae;Bgn;Mmp2;Adamts3;Col12a1;Itga8;Jam3;Capn2;Adam19;Nid1;Ltbp3;Ltbp4;Htra1;Col10a1;Mfap5;Dcn;Icam4;Plod3;Itgb4;Efemp2;Tnc;Col4a6;Ddr2;Loxl4;Itgav;Eln;Mmp11;Acta1;Col19a1;Fbn1;App;Nid2;Sdc4;Cma1;P3h3;Mmp10;Dmd;Utrn;Vcam1;Mmp12;Pecam1;Vcan;Col20a1;Ctsl;Sdc1;Elane;Capn5;Thbs1;Megf11;A2m;P3h1;Mmp9;Itga1;Itga4;Spock3;Mmp24;Sntg2;Sdc2;Col18a1;Sgca;Col17a1;Fbln5;Acan;Itga2;Plg
REACTOME_BIOLOGICAL_OXIDATIONS	8.63157195104944e-12	1.11433593888048e-09	0.875325132024659	-0.489262574880584	-2.28786900815658	185	Gsto1;Mgst1;Gstk1;Gsta2;Cyp2f2;Maob;Gstz1;Tpmt;Uxs1;Gstm5;Cyp7b1;N6amt1;Acss1;Maoa;Cyp2j6;Acy1;Akr7a5;Cmbl;Cyp4a14;Bpnt1;Ugt1a2;Ugt2b34;Cyp2a5;Ugdh;Chac2;Esd;Dpep1;Sult1b1;Akr1a1;Gstm6;Gsta3;Cyp4b1;Ugp2;Adh5;Cyp1a1;Gstt1;Abhd14b;Mgst3;Ces2h;Gss;Cyb5b;Acss2;Ces1d;Mtarc2;Cyp3a13;Aadac;Cyp4a12b;Sult1c2;Cyp4a10;Ggct;Aldh3a1;Cbr3;Bphl;Cyp4v3;Gstm4;Fmo2;Ugt3a2;Glyat;Ugt2b5;Acsm2;Acsm1;Ugt1a7c;Ugt1a6a;Ahcy;Acsm5;Cndp2;Ces3a;Aoc3;Gclc;Fmo1;Gstp1;Gsta1;Acy3;Cyp4f15;Cyp2e1;Paox;Ugt1a1;Nqo2;Gsto2;Gclm;Ugt2b38;Ugt3a1;Cyp4a12a;Cyp4f14;Mat2a;Ptges3;Ggt1;Mgst2;Trmt112;Fmo3;Fdx2;Ggt6;Bpnt2;Gstm7;Gstt2;Cyp4a31
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	1.70526199066533e-11	2.00135748177177e-09	0.863415391606693	-0.63974901517856	-2.56585395314171	72	Oxct1;Dld;Idh3a;Suclg2;Hspa9;Slc25a5;Dbt;Fh1;Ndufs1;Cox5a;Ndufs3;Nadk2;Pdhb;Cox5b;Mdh2;Shmt2;Uqcrc2;Mrpl12;Acat1;Uqcrq;Pccb;Ssbp1;Acad8;Ndufa13;Hadh;Clpx;Acadsb;Mrpl32;Idh2;Mrps2;Aco2;Mrps10;Pdha1;Ndufv1;Twnk;Eci1;Ndufa2;Hsd17b10;Ndufv3;Hspd1;Pdk1;Pmpca;Afg3l2;Cs;Tfam;Ogdh;Oxsm;Alas1;Fech;Ldhd;Lonp1;Clpp;Aldh2;Acot3;Glud1;Bdh1
REACTOME_FATTY_ACID_METABOLISM	1.37430270159614e-10	1.47852065646718e-08	0.826657301178302	-0.490779671547227	-2.25583468500809	165	Elovl6;Akr1c18;Elovl2;Phyh;Hacd1;Acads;Mecr;Echs1;Cyp2j6;Mmut;Akr1c13;Scp2;Pcca;Akr1c19;Cyp4a14;Acsl3;Acadm;Fads2;Acox3;Elovl7;Ndufab1;Hsd17b4;Acad11;Mcee;Dpep1;Akr1c20;Pctp;Pon3;Acsf3;Pccb;Slc25a17;Cyp4b1;Faah;Acot8;Hadh;Acaa1b;Gpx1;Acad10;Cyp1a1;Hsd17b12;Hao2;Acot13;Pecr;Prkag2;Ptges2;Akr1c21;Cyp4a12b;Akr1c12;Acsl6;Dbi;Cyp4a10;Thrsp;Hadhb;Aldh3a2;Eci1;Acsl1;Hacd2;Amacr;Slc22a5;Crot;Decr2;Cpt2;Acadvl;Ppt1;Acot4;Ephx2;Cyp4f15;Lta4h;Acox2;Hacl1;Acox1;Prkaa2;Alox8;Pon2;Slc27a2;Cyp4a12a;Acot12;Cyp4f14;Pon1;Nudt19;Ptges3;Acaa2;Ggt1;Cbr4;Decr1;Them4;Elovl1;Cyp4a31;Acbd5;Crat;Cyp4a32;Cbr1;Elovl5;Akr1c14;Acot3;Tecr;Mcat;Ppt2;Acsl5;Ptges
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	3.06702093754829e-10	3.04578771567295e-08	0.814035837847908	-0.590540878210401	-2.44538984311433	87	Gsto1;Mgst1;Gstk1;Gsta2;Gstz1;Tpmt;Uxs1;Gstm5;N6amt1;Bpnt1;Ugt1a2;Ugt2b34;Ugdh;Chac2;Esd;Sult1b1;Akr1a1;Gstm6;Gsta3;Ugp2;Gstt1;Abhd14b;Mgst3;Gss;Sult1c2;Ggct;Gstm4;Ugt3a2;Glyat;Ugt2b5;Acsm2;Acsm1;Ugt1a7c;Ugt1a6a;Ahcy;Acsm5;Cndp2;Gclc;Gstp1;Gsta1;Ugt1a1;Gsto2;Gclm;Ugt2b38;Ugt3a1;Mat2a;Ggt1;Mgst2;Trmt112;Ggt6;Bpnt2;Gstm7;Gstt2
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	1.60805062167813e-09	1.48285239470462e-07	0.788186810800237	-0.625515902477958	-2.44827535864126	64	Gstk1;Phyh;Pex7;Scp2;Idh1;Acox3;Dhrs4;Hsd17b4;Acot8;Acaa1b;Hao2;Ube2d1;Pecr;Cat;Pipox;Pex12;Ide;Dao;Amacr;Crot;Decr2;Ube2d3;Acot4;Ephx2;Ubb;Ubc;Ddo;Paox;Pex2;Acox2;Hacl1;Ube2d2a;Acox1;Pex13;Zfand6;Slc27a2;Nudt19;Tysnd1;Crat;Pex26;Nudt7;Acot3;Ehhadh;Mlycd;Uba52;Nos2;Acot5;Rps27a;Gnpat
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	2.39668068059821e-09	2.06274317243486e-07	0.774939030136436	-0.761619738747942	-2.58040221686747	33	Dld;Idh3a;Nnt;Suclg2;Fh1;Suclg1;Sdhc;Sucla2;Mdh2;Sdhb;Acat1;Isca1;Sdhd;Idh3b;Idh3g;Sdha;Trap1;Idh2;Dlst;Sdhaf4;Mrps36;Isca2;Aco2
