comparison	a1_status	pathway	NES	pval	FDR_joint	size	pass_FDR0.05	genome_wide_rank	n_sets_tested
baseline_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-2.50417750938653	3.69060932739806e-16	5.96494732540711e-14	193	TRUE	8	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	1.83994473236359	0.00270871326226238	0.0223976558981483	27	TRUE	154	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	2.08207133179371	1.62872925503728e-05	0.000507247282877568	72	TRUE	41	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.27510355437916	4.89320310963649e-12	7.02990180084443e-10	248	TRUE	9	1293
baseline_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	1.70930237214914	0.0104561739527137	0.0575312039185483	12	FALSE	235	1293
baseline_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	2.41447864229244	1.03067766676015e-07	6.34602963390892e-06	49	TRUE	21	1293
ADR_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	1.92803997052286	8.1432218653544e-07	9.48575303775067e-06	193	TRUE	111	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	2.02596136426626	0.000119706143191271	0.000910470842037135	27	TRUE	170	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	2.16711199181922	1.84118401608385e-06	1.96748010974911e-05	72	TRUE	121	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.1943140364644	4.12192805203489e-12	9.69027812960202e-11	248	TRUE	55	1293
ADR_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	-2.22041449258978	9.48027695116825e-06	9.2863621953489e-05	12	TRUE	132	1293
ADR_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	-2.04381786595188	6.20792762953541e-05	0.000524630746731325	49	TRUE	153	1293
A_ADR_vs_Ctrl	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-1.36174305061543	0.0125221371489309	0.104458860216566	193	FALSE	155	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	0.698993537676531	0.905144694533762	0.970695545706568	27	FALSE	1204	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.29882949804924	0.0911764705882353	0.339744024410917	72	FALSE	347	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.66051039150661	0.000124426795731754	0.00459668133946164	248	TRUE	35	1293
A_ADR_vs_Ctrl	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	-1.66657366994568	0.00989463408655566	0.0888455685688643	12	FALSE	144	1293
