comparison	pathway	dataset	NES	pval	FDR
ADR_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	A1_excluded_main	-1.09264351142202	0.24229296274086	0.775697309496104
ADR_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	A1_included_sens	-2.14627839298796	1.3124212806558e-11	1.69958555844926e-08
ADR_B_vs_A	REACTOME_INTEGRIN_SIGNALING	A1_excluded_main	1.40231933360087	0.0715328467153285	0.510390730925675
ADR_B_vs_A	REACTOME_INTEGRIN_SIGNALING	A1_included_sens	1.57858679991272	0.022555777711979	0.260801179794758
ADR_B_vs_A	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	A1_excluded_main	-1.23329135708987	0.173780487804878	0.700430845945237
ADR_B_vs_A	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	A1_included_sens	-0.974467382973343	0.469194312796209	0.97843258465554
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_EXCLUSIVE	A1_excluded_main	-1.60894731216274	0.0125077679446311	0.185920510421787
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_EXCLUSIVE	A1_included_sens	-1.39713511214476	0.103139013452915	0.519466729589429
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	A1_excluded_main	-1.48591363541557	0.0203356474179201	0.238899840124938
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	A1_included_sens	-1.39811204907836	0.0706821433767771	0.445546104535887
A_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	A1_excluded_main	NA	NA	NA
A_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	A1_included_sens	1.17923942855838	0.073	1
A_ADR_vs_Ctrl	REACTOME_INTEGRIN_SIGNALING	A1_excluded_main	0.940147508495551	0.57210401891253	1
A_ADR_vs_Ctrl	REACTOME_INTEGRIN_SIGNALING	A1_included_sens	0.822801530126421	0.759280089988751	1
A_ADR_vs_Ctrl	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	A1_excluded_main	-1.27499662160838	0.164772727272727	1
A_ADR_vs_Ctrl	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	A1_included_sens	-1.57733590824043	0.0206542662968267	0.884078962822564
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_EXCLUSIVE	A1_excluded_main	-1.2447979809116	0.21875	1
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_EXCLUSIVE	A1_included_sens	-1.60754802751333	0.0459557534642503	1
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	A1_excluded_main	-1.63078800293856	0.00507960504097871	0.295771548067897
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	A1_included_sens	-1.72835086994253	0.000730367785118727	0.156420433979594
