comparison	pathway	size	NES	pval	FDR
baseline_B_vs_A	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	226	-1.861	3.13e-08	4.05e-05
baseline_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	193	-1.874	6.92e-08	4.47e-05
baseline_B_vs_A	REACTOME_BIOLOGICAL_OXIDATIONS	185	-1.854	2.15e-07	9.27e-05
baseline_B_vs_A	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	123	-1.933	6.91e-07	2.24e-04
baseline_B_vs_A	REACTOME_DRUG_ADME	96	-1.787	2.08e-05	4.92e-03
baseline_B_vs_A	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	204	-1.656	2.28e-05	4.92e-03
baseline_B_vs_A	REACTOME_PROTEIN_LOCALIZATION	100	-1.714	1.14e-04	2.10e-02
baseline_B_vs_A	REACTOME_TRANSLATION	275	-1.545	1.48e-04	2.39e-02
ADR_B_vs_A	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	248	1.754	3.32e-07	4.29e-04
ADR_B_vs_A	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	75	1.792	2.83e-05	1.83e-02
ADR_B_vs_A	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	96	1.785	5.56e-05	2.40e-02
ADR_B_vs_A	REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	93	-1.764	8.52e-05	2.75e-02
ADR_B_vs_A	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	60	1.775	1.13e-04	2.82e-02
ADR_B_vs_A	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	62	-1.819	1.79e-04	2.82e-02
ADR_B_vs_A	REACTOME_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	64	-1.822	1.98e-04	2.82e-02
ADR_B_vs_A	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	62	-1.801	2.42e-04	2.82e-02
A_ADR_vs_Ctrl	REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	81	-2.001	2.74e-06	3.31e-03
A_ADR_vs_Ctrl	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	42	-2.087	6.50e-06	3.31e-03
A_ADR_vs_Ctrl	REACTOME_ATTENUATION_PHASE	13	-1.927	7.75e-06	3.31e-03
A_ADR_vs_Ctrl	REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	62	-1.976	1.81e-05	5.79e-03
A_ADR_vs_Ctrl	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	23	-1.986	7.49e-05	1.92e-02
A_ADR_vs_Ctrl	REACTOME_COMPLEX_I_BIOGENESIS	57	-1.753	1.65e-04	3.53e-02
A_ADR_vs_Ctrl	REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	88	-1.648	2.02e-04	3.69e-02
A_ADR_vs_Ctrl	REACTOME_MITOCHONDRIAL_TRANSLATION	93	-1.631	2.64e-04	3.89e-02
B_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	49	-2.227	1.62e-07	7.17e-05
B_ADR_vs_Ctrl	REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	93	-2.145	1.88e-07	7.17e-05
B_ADR_vs_Ctrl	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	58	1.736	2.25e-07	7.17e-05
B_ADR_vs_Ctrl	REACTOME_KERATINIZATION	58	1.736	2.25e-07	7.17e-05
B_ADR_vs_Ctrl	REACTOME_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	64	-2.040	8.62e-07	2.18e-04
B_ADR_vs_Ctrl	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	62	-2.108	1.02e-06	2.18e-04
B_ADR_vs_Ctrl	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	62	-2.091	1.29e-06	2.36e-04
B_ADR_vs_Ctrl	REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	57	-2.022	2.67e-06	4.26e-04
