comparison	gene_set	leading_edge_gene	known_canonical_podocyte_marker
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Thsd7a	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Pard3b	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Robo2	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Sema3g	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Tmem150c	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Tdrd5	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Wt1	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Arhgap24	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Synpo	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Pth1r	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Nphs1	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Vegfa	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Gas1	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Mafb	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Enpep	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Pak1	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Nphs2	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Iqgap2	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Podxl	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Foxd2os	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Shisa3	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Npnt	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Dpp4	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Tcf21	TRUE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Cd59a	FALSE
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	Golim4	FALSE
B_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	Sema3g	FALSE
