gene	logFC	logCPM	PValue	FDR
Galk2	7.32974182870537	3.66533839966078	7.021958731886e-54	9.32375680419823e-50
Ppp1r3a	4.41656349419151	5.06462689770706	3.02613416644634e-47	2.00905047310373e-43
Oas1a	12.6774353416264	3.43839588517235	2.44913481377279e-39	1.08398706857584e-35
Otud3	-4.30330335232563	3.95818495461994	2.29292009383306e-34	7.61134825147885e-31
Ubtd1	3.86223651414861	3.93246878392731	8.31961891000133e-30	2.20935799773995e-26
Arl2bp	-1.9718351871795	5.28609081856444	2.9089624249052e-21	6.43753384631521e-18
H2-Q6	-4.51008408268341	1.03130306486969	2.02795847269611e-19	3.84674751435128e-16
Oas1g	10.8226376641496	1.59536653215442	4.1663346973116e-19	6.91507401386293e-16
Zfp970	2.15921971083059	5.94770544786038	4.96099489138228e-19	7.31912112975265e-16
Col5a3	2.89883954781911	5.3952378247825	3.64255388326559e-13	4.83658304620005e-10
Serpina1b	2.19643278694009	4.73953589653804	4.61110434553998e-12	5.5660221363709e-09
Tmem215	3.07410651211497	4.07521743875389	7.19904532550449e-12	7.96574365267072e-09
Serpine1	1.82683135229585	7.41067381735552	9.93141819220097e-12	1.0143797750465e-08
Erdr1	1.90992974755491	5.40562712415147	1.57947018831552e-11	1.4980146543181e-08
Hsd11b2	-2.01932156749547	3.7641625238891	2.9900662904358e-09	2.5243347425843e-06
Tmem72	-3.45724565690627	4.32662476771071	3.04182526595487e-09	2.5243347425843e-06
Calb1	-3.31867601410204	5.58221840366604	4.85996302996927e-09	3.79591700658423e-06
Pla2g5	2.11503792199032	2.87599473554468	1.05623280630786e-08	7.79147733453094e-06
Tagln	1.14616874603656	7.95348878510739	3.39035935871942e-08	2.30774198499093e-05
Oas1b	2.27698084310498	2.52400635969398	3.47603853741667e-08	2.30774198499093e-05
Zfp809	1.28698665634184	5.39205295800414	4.28447657733375e-08	2.6386522391364e-05
Cacna2d2	-1.8429505237179	5.5455458505715	4.37191966116892e-08	2.6386522391364e-05
Kcne1	-2.73683174667692	0.465388217831578	4.71479977322937e-08	2.72187440821477e-05
Insrr	-2.23939954940344	1.86725637189608	8.62323093781796e-08	4.77080251634779e-05
Loxl1	1.36579520772706	4.35103992903172	1.02208651260664e-07	5.30038806070164e-05
Lgals1	1.40739492555384	6.21129483082699	1.05895312921013e-07	5.30038806070164e-05
Fads6	-2.30767495769273	1.86500135265532	1.07780145834421e-07	5.30038806070164e-05
Defb1	-2.59886918174974	4.01279670622295	1.32460089385746e-07	6.28144666737121e-05
Fosl1	3.21694751824056	0.592456592838459	1.98896434689012e-07	9.10671330965761e-05
Aifm3	-1.66054335245153	5.1060598930479	2.56791390706336e-07	0.000113655869526624
Creg2	-2.91654312363837	2.64427623823107	5.96603815523291e-07	0.000255538885887686
Klhl3	-1.38581668708989	3.89559487137528	8.00405683992648e-07	0.000332118333501699
Glo1	1.01518138224647	6.76116049586068	8.40163484425232e-07	0.00033805123473328
Egf	-1.16224016640553	8.26918552506331	9.82840761214634e-07	0.000380442353567129
Hmga1b	1.62060530583446	3.61789594023053	1.00282289312016e-06	0.000380442353567129
Thsd7a	-1.55586798777184	8.09647837615788	1.09080192242309e-06	0.000402324109053716
Wnk4	-1.30818190847114	4.6702174237237	1.17181875141818e-06	0.000420524577873798
Lypd1	-3.31307777667968	3.26724062938916	1.22994918486932e-06	0.000424441362811713
C330020E22Rik	-1.21382028473586	6.86138156476309	1.24666464449893e-06	0.000424441362811713
Ptgir	1.40249493825653	3.83959724852906	1.62297590484184e-06	0.000537015255192715
Etfbkmt	1.11706450966002	4.85938114723041	1.65820345405192e-06	0.000537015255192715
Mc4r	-1.73829453276163	2.48780463208535	1.93611444229103e-06	0.000612088751541436
Opcml	-2.37077394004249	2.03321537678861	2.21419321056144e-06	0.000683722266275229
Gpx6	-2.78292497818168	1.43439721283247	2.28844951057086e-06	0.000690591650030906
Tnfaip2	1.08544408933451	7.55350083435985	3.14850045118894e-06	0.000929017533130815
Slc12a3	-2.19230810041535	6.36036215801878	3.2612908191094e-06	0.000941378684698578
Rpa1	0.890997705488006	6.78412949968434	4.41038544307044e-06	0.00124598080666148
Fras1	-0.981982944157698	5.03742296916772	4.55770784164252e-06	0.00126077593169436
Cyp2s1	-1.57760189406192	4.73318800964533	4.6944484862416e-06	0.00127209973470033
Atp4a	-2.47617393040867	0.191170547063891	5.74678766730423e-06	0.00152611693292931
Cyp2d12	-2.50545474728875	2.93112597670594	5.94786374341859e-06	0.00154522274916719
Ankrd1	1.3863848333989	5.25121586698791	6.0514823736025e-06	0.00154522274916719
Kcna6	-3.55011999436917	0.871859874923853	6.36421770159011e-06	0.00159441665361724
