gene	logFC	logCPM	PValue	FDR
Galk2	6.6952518578163	3.41178705713273	4.00752395336969e-49	3.1253230569473e-45
Ppp1r3a	4.48961533779337	4.8207365413057	4.64974047005475e-49	3.1253230569473e-45
Oas1a	12.6819307578756	3.17663603575405	9.86690764226247e-49	4.42136131449781e-45
Ubtd1	3.89663831790058	3.70003965618749	3.40776702335684e-32	1.14526530237465e-28
Otud3	-4.21322308131773	4.15914393433608	1.20410866590925e-31	3.23736655916361e-28
Oas1g	10.8271440697405	1.33666669682719	1.60382545492261e-25	3.5933709317541e-22
H2-Q6	-4.60125029242966	1.40032701953549	3.62037980162573e-21	6.95268081046495e-18
Zfp970	2.13311370187671	5.78244036051783	1.50425011442902e-17	2.52770428603366e-14
Arl2bp	-1.97957151438402	5.47567544122768	2.03684450501516e-17	3.04236674232431e-14
Col5a3	3.15699529090121	5.16430940439554	4.87778176205196e-15	6.55720202272645e-12
Tmem215	2.90414830674576	3.88257072024636	9.06937792360923e-13	1.10836043115526e-09
Serpine1	1.8950759267023	7.24436453977745	3.46331918469556e-12	3.87978331665521e-09
Erdr1	1.84639903800548	5.2619171834969	3.1264322253537e-11	3.23297141580229e-08
Calb1	-3.90851057011772	6.38616172788928	3.49198592721463e-10	3.35305477282474e-07
Hsd11b2	-2.73725274628256	4.54938485336082	5.90438804949618e-10	5.29151256995848e-07
Fosl1	3.56418050984305	0.355270761435065	9.27519514459706e-10	7.79290302055114e-07
Serpina1b	1.95571681351566	4.61185177947575	1.09324701677479e-09	8.64501155676679e-07
Kcne1	-3.12841325782506	1.02577941601399	1.38952284401052e-09	1.03774197733519e-06
Tmem72	-3.37601635754316	4.51837656752772	1.54602031345179e-09	1.09385005651223e-06
Defb1	-3.22927199621643	4.7916466912026	2.68531326558914e-09	1.74417751633856e-06
Oas1b	2.24857072853519	2.35301672583453	2.72466918419324e-09	1.74417751633856e-06
Fads6	-2.43626360727264	2.17562825200824	7.75793077726457e-09	4.7404483381258e-06
Insrr	-2.23206569587021	2.06080364032998	2.75422111384395e-08	1.60978236666975e-05
Gpx6	-3.4282237301301	2.23583000192223	7.91145587291469e-08	4.43140422081634e-05
Loxl1	1.47953534242869	4.19930594029594	9.36885542895682e-08	4.87740773141069e-05
Cyp2d12	-3.15677438743184	3.7160619870493	9.43335572540936e-08	4.87740773141069e-05
Mc4r	-1.86181870899139	2.74746465555443	1.05396473068493e-07	5.24757328688799e-05
Wnk4	-1.52867334825967	4.95925942832623	1.42477789118471e-07	6.84046042542717e-05
Pvalb	-3.432362114492	4.05979798860364	1.51668358087466e-07	7.03061288886138e-05
Slc12a3	-2.47781599391903	6.79765435399061	1.96102908540922e-07	8.57639699526618e-05
Zfp809	1.2690683369424	5.28351476910804	1.97774534592912e-07	8.57639699526618e-05
Creg2	-2.82429483680083	2.80347819407126	3.31181658775674e-07	0.000139127344966293
Kcna6	-3.9003687166657	1.45678056550462	3.44402847184575e-07	0.000140297196203098
Hmga1b	1.6123480943505	3.48209738371476	3.76056048412602e-07	0.000148376367601913
Aifm3	-1.62482448198055	5.23747115412784	3.86310560594134e-07	0.000148376367601913
Cyp2d9	-2.92621900630168	4.49059180301791	4.02844758384877e-07	0.000150428946860219
Atp4a	-2.71617229247858	0.595303917102756	4.27549886988711e-07	0.000155339273805115
Gm3336	-3.58038413003433	-0.330561451246663	5.98180887478885e-07	0.000211614359746807
Cyp2a5	-3.10396680928926	5.10862171790626	6.68717146771854e-07	0.000230501656514206
Ptgir	1.41877531255487	3.71227076470676	7.62735355979538e-07	0.000256336284760823
Egf	-1.41995344196497	8.56890034130797	9.44671797532482e-07	0.000309737145712906
Rhcg	-2.6334746596311	3.55773655229017	9.92364345227182e-07	0.000317627473640214
Lypd1	-3.15938807756752	3.38399624636086	1.04452255789049e-06	0.0003265469010633
Sprr1a	3.75998859027575	1.06758284291131	1.38921999140755e-06	0.000424438280556629
Klhl3	-1.35597514176147	4.00917035838941	1.57531625231257e-06	0.000470599475107509
Tnfrsf12a	1.66991850320278	7.10025966038156	2.01717312858935e-06	0.000589496921035361
Rnd1	2.22567462034449	4.61883739867999	2.34306030609372e-06	0.000670165099889741
Nr4a3	2.03254882999222	3.80013371433609	2.54798903281083e-06	0.000713596178501584
Ankrd1	1.3636741839382	5.13568575799122	3.37307555313579e-06	0.000908020465436484
Nap1l5	-2.22422909127743	0.427231577742754	3.37729846550801e-06	0.000908020465436484
Pla2g5	1.74398018395872	2.7848728227077	3.54007814093334e-06	0.000933122949971898
Ptgfr	-1.53634945512928	3.56496342675856	3.77557525788064e-06	0.000961640585273881
