gene	logFC	logCPM	PValue	FDR
Inka2	3.65101616320594	4.68744226254583	1.26660815468867e-48	1.67394933723654e-44
Cdkn1a	3.96897601324062	7.55036901298677	1.0449631237398e-43	6.90511632167262e-40
Angptl4	2.54933007944687	5.69348732637334	5.00890104986346e-43	2.20658787583318e-39
Pdk4	3.30616262081464	5.31664685938068	5.29758724691757e-42	1.75032282638157e-38
Eda2r	4.25732108693058	3.61396070515066	1.30311473844614e-35	3.44439287666082e-32
Mctp1	6.37868478196722	2.92670881654198	4.83076270531619e-32	1.06405599855765e-28
Hmgcs2	2.88421918106437	5.24433134070941	1.26653267420491e-29	2.39121368889888e-26
Cyp4a14	4.53260015948937	3.73781793418382	3.81415366811742e-27	6.30098185972998e-24
Psrc1	4.20979706047057	2.63685094727352	1.89340798190431e-25	2.78036443209415e-22
Phlda3	2.5441861692592	6.40701573021157	2.10988740054322e-23	2.78842718855791e-20
Arhgap20	4.03693282047402	2.88799504943094	8.40069684739809e-21	1.00930554122921e-17
Clca3a1	3.45666072638758	2.80625500319794	6.61929736129145e-20	7.29005282723565e-17
Ly6c1	1.74589122349468	8.12786312643867	4.00995071606489e-19	3.82613501520802e-16
Maff	2.67632433027326	3.90222069106036	4.05310912627969e-19	3.82613501520802e-16
Ly6c2	1.8487711940704	4.907387999931	5.38700587728998e-19	4.74631131161763e-16
Ptprv	3.46327279694579	5.73071035618364	1.22331158085819e-18	1.01045536578886e-15
Ccng1	1.70270857881098	8.00773866111715	3.02810737456831e-18	2.35408629778205e-15
Nell2	1.50830130242189	5.8413896547623	4.23916223225588e-17	3.11248711452743e-14
Serpina3h	2.49767129214655	5.43503184844782	5.3175772533663e-16	3.69879478844679e-13
Alas2	-3.43446013490689	2.40057593397771	7.52077719279873e-16	4.9697295690014e-13
Gda	1.58929721921643	4.98754168494791	1.66686955689833e-15	1.04901657447468e-12
Slc22a7	-4.38617031174845	1.21207702262942	2.55994791036565e-15	1.53783052651784e-12
Celf5	3.75848044033126	1.35570957382268	4.58520853081629e-15	2.63470069318557e-12
Lpar1	3.23893314419172	0.877682416860402	9.52939522821849e-15	5.24752030567232e-12
Map3k6	1.3551849714618	5.85774387177073	2.80169697034963e-14	1.48108908640563e-11
Aen	1.75661417410676	5.14570921981631	3.35800861183516e-14	1.70690160823129e-11
Tmem178	1.89561798885827	4.54242819565636	8.9239334968999e-14	4.36810018870478e-11
Gtse1	3.0675751276158	1.89740580158845	1.02373110330138e-13	4.83201080758251e-11
Hspa1b	-4.78099854784462	8.96947061838251	1.18666576620207e-13	5.4079223331471e-11
Hif3a	3.50644225402638	1.1298666541124	1.35642870530185e-13	5.97552058975641e-11
Serpina3n	4.17269159550118	1.38633471445845	3.89038413990814e-13	1.65855860622664e-10
Lrg1	2.5878278160194	2.9100714136095	1.13392306284461e-12	4.68310224954824e-10
Ddit4	1.7381471686565	5.4263196224987	1.19461678746535e-12	4.78425923125517e-10
5830418P13Rik	6.31573286304804	-0.72672979438355	7.18986574637807e-12	2.79474310894508e-09
Cxcl10	4.02984544272879	2.80350042338644	8.35093760490683e-12	3.15331403961282e-09
Fam107a	1.69235461355103	5.52514201168113	9.79742447871451e-12	3.59674338640808e-09
Rflna	-2.30386522385639	5.43475782826891	1.06438673807664e-11	3.80187435957319e-09
Dlk2	2.04093940636326	3.39172902462853	1.1832827233181e-11	4.11533275562422e-09
Zfp365	2.91282048934034	2.67883297727947	3.42108836777094e-11	1.15931035560156e-08
Hspa1a	-4.51835622329088	8.48167225293674	1.62556008547071e-10	5.37085052239523e-08
Ttll9	2.97945337127696	0.0847410674490425	1.72007367863516e-10	5.54451066752252e-08
Cox6b2	2.10634738380663	3.38926397024811	1.80065116437104e-10	5.66604899722087e-08
Tnfrsf12a	2.15518032337804	5.2201360499057	1.99681546641411e-10	6.13718911723927e-08
Cyp4a10	2.2554791764476	5.18070433755643	2.99486789710339e-10	8.99549412002692e-08
Xdh	1.14827445857544	5.896900419674	3.1082310894407e-10	9.1285293506774e-08
Trp53inp1	1.21959963658289	7.12623137242562	3.44281138026851e-10	9.89134678296275e-08
Crct1	9.98229404396409	0.20716193565403	3.89040697014216e-10	1.07626334841428e-07
Slc19a2	1.58188394834222	4.34732902060056	3.9089467860083e-10	1.07626334841428e-07
Chrm3	-1.54572735074144	4.29651924211452	4.3110683839097e-10	1.16275672983164e-07
Serpina3i	2.58545666575363	2.39374307375094	1.16850791580935e-09	3.08860012306728e-07
Gdf15	2.04700961507835	2.93493604587831	1.34510928014867e-09	3.4856792640088e-07
Sema7a	1.14905610142885	7.62557449384258	1.79792961293737e-09	4.5695072624193e-07
Bbc3	1.76207036358491	3.73023424843029	2.10988255557979e-09	5.2611712933099e-07
Ddias	2.75384038614413	0.993672185690501	3.41182551503387e-09	8.35012703827548e-07
Irf7	1.64106658133511	4.95699816355121	3.95408596325567e-09	9.50130910734307e-07
Serpina3g	2.60852804627258	4.60163533350768	6.59009358759545e-09	1.55526208667253e-06
Unc13c	3.41745686116067	-0.256066702031284	1.09486094994783e-08	2.53854075693168e-06
Srgap3	1.80824296689849	3.65184633140612	1.52733898558965e-08	3.42310404929339e-06
Zmat3	1.14461726026716	5.61366061840602	1.55369019536949e-08	3.42310404929339e-06
