gene	logFC	logCPM	PValue	FDR
Inka2	3.48869730205208	4.81050449610141	2.97652315580493e-33	3.96740771437239e-29
Cdkn1a	3.80628776012277	7.68131557789533	1.80067484891395e-30	1.2000597530587e-26
Angptl4	2.55742248648038	5.92316327721821	5.35786121749367e-30	2.38049773893244e-26
Psrc1	4.05152714704992	2.77205052588568	1.05842224883523e-22	3.52692753868121e-19
Eda2r	3.95477787776441	3.61667404831536	3.08455860661895e-21	8.2228163335248e-18
Pdk4	3.04574377248705	5.34494599471442	4.33696335577871e-21	9.63456409486241e-18
Phlda3	2.55362236245913	6.6356350664808	4.00609332854022e-20	7.62817399658752e-17
Hmgcs2	2.70172046477505	5.32226633937674	7.57438420428904e-20	1.26198708823711e-16
Maff	2.62024725212015	4.08338922184068	8.49669711792529e-18	1.25836084316474e-14
Hspa1b	-4.56455630771551	8.73399263743157	2.08289987377462e-16	2.7762972417542e-13
Alas2	-3.84519218361146	2.14985761464134	1.86085268711973e-15	2.2548459515108e-12
Lpar1	3.19534120672412	1.08855884374999	1.46360653368105e-14	1.62570095728623e-11
Cyp4a14	4.14203736327102	3.65369874688029	2.08531464763236e-14	2.13808914909937e-11
Tmem178	2.02787644366493	4.82244185422964	5.29722262126981e-14	5.04333430849324e-11
Hspa1a	-4.47573896480185	8.24289385683462	5.83094030362923e-14	5.18137355380493e-11
1700007K13Rik	4.37644933071174	0.0243523990208358	6.46275594533985e-14	5.38387962471468e-11
Ccng1	1.78144582151932	8.22996729253973	8.31008278525762e-14	6.51559373204111e-11
Ly6c2	1.7602651788449	5.013336541346	1.80191358034851e-13	1.33431700624807e-10
Ptprv	3.17357410409679	5.73230204460245	4.8124103597779e-13	3.37603250976209e-10
Ly6c1	1.6979060589068	8.25683280926093	6.62747697055656e-13	4.41688202702742e-10
Gtse1	2.93623513576064	2.03131328170198	2.6034411162521e-12	1.65244126850116e-09
5830418P13Rik	6.18119711897907	-0.560522236286853	8.01430092034696e-12	4.85557349851385e-09
Rflna	-2.18459226548341	5.27848461334183	1.10602057460845e-11	6.40962966911133e-09
Cox6b2	2.16937570433394	3.63201267751977	2.65538522833148e-11	1.47473457118459e-08
Cxcl10	3.84805070191853	2.91697380569926	2.92990765478158e-11	1.56210956522334e-08
Ddit4	1.72351438797845	5.58375696013728	4.44471356069858e-11	2.27859950194428e-08
Arhgap20	3.61952450148983	2.78089687714514	6.77599198245905e-11	3.34508137534062e-08
Gdf15	2.20479728565862	3.25035293535021	1.05460131021819e-10	5.02027887996366e-08
Zfp365	2.77314730566338	2.79616329799361	1.22678892406889e-10	5.59392374488365e-08
Dlk2	1.95958583237826	3.51539304658735	1.25904203125898e-10	5.59392374488365e-08
Lrg1	2.40853393738395	2.98164359319056	1.52002345628695e-10	6.53561053188671e-08
Fam107a	1.65250950044392	5.65260658160057	2.13345795227576e-10	8.88651907683863e-08
Serpina3h	2.24248089598295	5.43860268873274	2.62286842379618e-10	1.05940040062967e-07
Chrm3	-1.65369993966624	4.13656014058473	2.94147419079128e-10	1.15314439673697e-07
Aen	1.61834776765305	5.20877179217353	7.99109107457985e-10	2.99931594465574e-07
Tnfrsf12a	2.0842379849697	5.35727384143503	8.10078580595744e-10	2.99931594465574e-07
Smco3	-2.55812968334206	2.71901359725834	1.30292145280897e-09	4.69219154314607e-07
Clca3a1	3.05365136252088	2.70437362361652	1.33770934533386e-09	4.69219154314607e-07
Celf5	3.38707818773213	1.29069885927733	2.13876580086045e-09	7.30964342555615e-07
Cyp4a10	2.13855395685246	5.28209516817865	2.2530451759821e-09	7.50770978766634e-07
Crct1	9.5988611183899	0.140818339039079	2.88147660730875e-09	9.36761017044351e-07
Ttll9	2.79177824338298	0.158776775687345	4.64535640957332e-09	1.4742370376953e-06
Aldh1a1	2.18744567649662	3.26869055538263	5.08359534478331e-09	1.57579633373527e-06
Hif3a	3.16465944629944	1.08372256780869	5.48418901779781e-09	1.66133535041425e-06
Acot1	2.06795647601059	4.23216231201785	1.59619471637399e-08	4.72792874989977e-06
Ddias	2.60344297539644	1.09199697432937	1.81304993526855e-08	5.25350925808575e-06
Nell2	1.32620673804657	5.85681847256999	3.14054757295747e-08	8.80252019490471e-06
Bbc3	1.67345680195207	3.83118881887558	3.16993749985315e-08	8.80252019490471e-06
Slc19a2	1.46357912438839	4.41078727564203	6.31093993612646e-08	1.71670445731897e-05
Lrrtm2	2.88106724802916	-0.132913395913041	9.46870113617811e-08	2.52328120317219e-05
Unc13c	3.19465473277323	-0.203133022444381	9.65468837585577e-08	2.52328120317219e-05
Slc10a6	1.9178686813917	2.38737336285627	1.02019435586978e-07	2.61503280180544e-05
Apcdd1	-1.16643348563443	5.55366560522703	1.12849960871308e-07	2.83807005368617e-05
Serpina3n	3.70730339898177	1.23992916858879	1.22147955327434e-07	3.01501869733217e-05
Map3k6	1.20883941934139	5.88834403906282	1.30635042084843e-07	3.16588086536158e-05
Mctp1	5.79221537641328	2.66960437516959	2.13648593680416e-07	5.08521804493976e-05
Vnn1	1.74503542096064	3.72259742120162	2.23271743707121e-07	5.18112533574244e-05
Top1mt	-1.46901315809082	6.81880303320617	2.25452224077621e-07	5.18112533574244e-05
Dlk1	-1.30850573296947	5.45266339386466	6.64588238134616e-07	0.000150140620781293
Tiam1	-1.16397564808547	5.27251318401992	7.063804570552e-07	0.000156922418534813
