gene	logFC	logCPM	PValue	FDR
Cdkn1a	5.07086388756916	8.53749352111691	3.36441278922564e-102	4.46289356490781e-98
Crct1	10.8089820163604	3.83572683347248	6.59625144741937e-81	4.3749637725009e-77
Col5a3	4.22521062477437	5.0595895138486	2.02632506809775e-70	8.95973400943887e-67
Phlda3	3.17845625509467	7.2003485097714	6.16792434980501e-62	2.04543791250409e-58
Psrc1	6.31969017596164	3.62962642659323	2.75556037096198e-59	7.31050166416214e-56
Inka2	3.64116358402308	5.0982922287955	3.65572006648187e-58	8.08218778031367e-55
Tnfrsf12a	3.71335075654332	6.78497721607195	1.74548176268264e-49	3.30768794028361e-46
Eda2r	4.90990781220967	4.46658910070391	2.78005724730567e-44	4.60968242318872e-41
Thsd7a	-2.64541160498362	9.10224826009424	2.2267656882198e-40	3.28200520602619e-37
Aifm3	-2.33097202070848	5.77409343309763	1.40688389412593e-38	1.86623148555805e-35
Gadd45b	2.26227252478098	6.30450196042656	1.84402614118318e-38	2.22372788752681e-35
Lypd1	-4.50177721495223	4.60985679287764	1.08302099657208e-37	1.19718945996072e-34
Top1mt	-2.22533822900942	6.97536828886251	3.24323177136864e-37	3.30934380363115e-34
Ccng1	2.12557378848265	8.24046053904411	4.87912287595452e-36	4.62296892496691e-33
Sema3g	-2.58547686837816	11.1619749314541	9.22962333985393e-36	8.16206357354416e-33
Aen	2.45631817144377	5.63893457866895	6.56478461381495e-34	5.44261674389096e-31
Serpina3h	2.45794316083027	6.03616859323171	8.36227538203072e-34	6.52503429074339e-31
Magi2	-2.3515831659191	7.48914524019353	1.06950821732856e-33	7.88168139047967e-31
Wif1	-2.49969274735639	6.08762070168001	5.23743482872268e-32	3.65655647384244e-29
Cxcl10	4.21467205605278	3.9841403200555	1.14392215074277e-30	7.58706366480141e-28
Rnd1	3.20035231701748	4.46066483529333	1.56484977927258e-30	9.88463443907179e-28
Serpine1	1.97319163967285	7.20210636507759	2.21731183432409e-30	1.33693824919587e-27
Abca9	-2.22139380196882	6.46115394585402	9.03544728970516e-29	5.21109601295387e-26
Cacna2d2	-2.56931745386433	6.28958965452454	1.8548879390879e-27	1.02521202133338e-24
Mmp10	8.00846225190097	1.05092975822807	2.28665970897596e-27	1.21330164158265e-24
Pard3b	-1.99947646989356	8.04497576941425	3.41592563933309e-27	1.74277898483667e-24
Ly6a	2.1205849952267	8.21704318266574	6.71619001205011e-27	3.2996392781424e-24
