gene	logFC	logCPM	PValue	FDR
Otud3	-4.4525856649816	4.23157591547544	1.05995343249038e-61	1.39744260539532e-57
Galk2	7.22943754991095	3.47333712168544	8.38250871504309e-57	5.5257497449564e-53
Oas1a	12.1223658793297	2.5428897762374	3.88903472972091e-56	1.70910112922135e-52
Ppp1r3a	5.00262177108553	4.54853592346719	3.79929285427943e-54	1.2522469247705e-50
H2-Q6	-7.88596815719711	2.33204112796509	1.57214014080144e-52	4.14541912326524e-49
Ubtd1	3.61882352713053	3.54713452633721	1.4666509114967e-40	3.2227209361954e-37
Tmem215	3.37844699418728	3.98572318816216	1.45427302134629e-27	2.73901935906135e-24
Arl2bp	-2.0515594228548	5.34617495592935	3.67800707240632e-24	6.06135565532562e-21
Serpina1b	2.26925161719764	4.51086077582122	1.21902849535076e-22	1.78574129807827e-19
Oas1g	9.59724345752478	0.0785625770491873	3.21714022512279e-21	4.24147767280188e-18
Zfp970	2.05745145873435	5.80692073614569	2.61533738452716e-18	3.13460073432783e-15
Glp1r	2.98931735105184	2.54116689295646	8.08371638065269e-18	8.88130973021042e-15
Oas1b	3.02397097229988	1.99779972723349	2.84013915760613e-16	2.88033805029841e-13
Tmem72	-3.38785038731297	4.44405595384411	1.76651070597778e-14	1.6635483676865e-11
Nlrp1b	-3.44122217755866	0.865340458013084	2.20352714382303e-13	1.93675345761085e-10
Bmyc	1.45610556329285	4.6111926487109	6.13381685827243e-13	5.05426509121648e-10
Grid1	-2.70266639139034	0.365412254096878	1.09846670143278e-10	8.51893234805282e-08
Etfbkmt	1.8662342027066	4.88372493000482	2.81571996158466e-10	2.06235844297401e-07
Glo1	1.013786874235	6.96479603404378	6.98322116581061e-10	4.84562041316037e-07
Mir6236	1.26391732805806	6.03274728547001	1.2242402705548e-09	8.07019186349725e-07
Resf1	1.22093439575561	7.24434719579536	3.24988619515633e-09	2.04030950461624e-06
Cd53	-1.44130266625638	3.55561786721529	6.98066374385325e-09	4.18332139995278e-06
Man2a1	1.054539943712	8.3179727877427	1.80434181187351e-08	1.0342801064235e-05
Calb1	-3.14847000930502	5.64124695662019	3.61273180271026e-08	1.98459400362217e-05
Nos1	-1.99339940003885	1.09502608599132	4.78661403692914e-08	2.52426877851495e-05
Mogat2	-2.60155024647378	0.970244985502393	5.99660371692271e-08	3.04073936168881e-05
Mpeg1	1.59508539457051	3.3982920803204	1.33380255365303e-07	6.51290846939316e-05
Cd74	1.23103158595813	4.95394462428805	1.95514112938389e-07	9.20592166064186e-05
Cyp4a14	-2.84107703572785	-0.350571418743122	2.05852022103751e-07	9.35845882557191e-05
Lars2	0.984181397613544	8.96225199192729	3.4087787498077e-07	0.000149804463458216
Xpnpep2	-1.50004649169157	3.24309130015485	4.95999993753151e-07	0.000210943997343276
Rn7sk	1.40455811773032	3.35286648811858	5.35273692028594e-07	0.000220532761115781
Gm47708	-2.48606411441476	0.0326678490560792	7.91935055109407e-07	0.000316390053532195
Trim24	0.817260129805271	6.3958799572839	9.20731949887014e-07	0.000357027353744423
Amd2	-1.85858996097247	0.506229278737293	1.05025628868841e-06	0.000395616540287657
G6pc	-1.8459269592738	6.52177103508603	1.47772157098099e-06	0.000541174477550371
Synpr	4.26034500131166	-0.323139122372531	1.7165847582711e-06	0.000611660904136385
Ctps2	1.09952961735908	4.23388106368676	1.86904150399883e-06	0.000648459031282119
Ciita	1.8890232827629	1.22544504023083	1.93620714183885e-06	0.000654537306615472
H2-Ab1	1.05492504024797	4.5863977071819	2.17767419710047e-06	0.000717761415364314
Cpne4	1.35161298536786	3.38287448720217	2.95607075253907e-06	0.000950556995157929
Scarb2	0.852131993657529	8.75484123644486	3.03176775779532e-06	0.000951686336161274
Cyp2d12	-3.14013449345849	3.08047251913863	3.54459838118143e-06	0.00108679035017432
Mc4r	-1.61750874467081	2.54203105369564	7.24191107734094e-06	0.00216993990099234
Pla2g5	1.38321215934995	2.81670381635274	8.17037268583827e-06	0.00233963216137189
Pappa2	-1.75111997413104	0.461030093403414	8.2467142099232e-06	0.00233963216137189
Tcaim	0.852688507222146	4.75481576780207	8.35296663452955e-06	0.00233963216137189
Gm46840	0.905893489203149	5.30611351637339	8.51807825742195e-06	0.00233963216137189
Klhl21	0.746382798760056	5.49282117235094	9.52426509857464e-06	0.00256261042978792
Slc12a1	-1.37592848109656	6.77386585839317	1.06523837772e-05	0.00276898895717905
Iigp1	0.961355527334349	4.46546312192586	1.07113498798643e-05	0.00276898895717905
Cwh43	-2.59384497495719	0.865987699077915	1.10100603580373e-05	0.00279147376462239
Ptprc	1.15810616014504	3.58569272155232	1.32150424600992e-05	0.00328730414705561
