rank_position	gene	stat
1	Ubtd1	21.1431956090674
2	Galk2	15.9542598261881
3	Ppp1r3a	14.2152695208473
4	Col5a3	8.3360841673962
5	Pla2g5	8.31685067343716
6	Oas1a	8.12290551943441
7	Serpina1b	8.01254419727438
8	Ptgir	7.98759356716659
9	Zfp970	7.94254963245811
10	Oas1b	7.88808187286911
11	Loxl1	7.83661167028921
12	Tmem215	7.7077782110515
13	Zfp809	7.07045854050061
14	Serpine1	7.03687790424932
15	Glo1	6.57232478781723
16	Oas1g	6.53797679531362
17	Hmga1b	6.28498550549943
18	Tpm4	6.27844913408012
19	Erdr1	6.26591209939961
20	Tagln2	6.24447017309584
21	Cald1	6.21005804460972
22	Lgals1	6.03676642209455
23	Tagln	5.94956358554233
24	Mcam	5.85590398915327
25	Wdr66	5.61240078070259
26	Ctps2	5.5043983241163
27	Nupr1	5.47586215037243
28	Rpa1	5.36532848441555
29	Csrp1	5.36173270021457
30	Serpine2	5.3012070635809
31	Angpt2	5.21765516143247
32	Glipr2	5.21654489907597
33	Ccdc158	5.17687886010508
34	Ckap4	5.11904128094921
35	Ppp1r14a	5.06850397931902
36	Rhoc	5.02639521264381
37	Rsad2	5.00631805664192
38	Serpina1a	5.00551284340369
39	Tmbim1	4.97507490123605
40	Sdcbp2	4.88488311168028
41	Fosl1	4.88452030320864
42	Klhl21	4.86681829971747
43	Anxa3	4.86301943291298
44	Pdlim7	4.80841712397214
45	Bst2	4.78191603029359
46	Igfbp2	4.74667558971556
47	Fxyd5	4.71724536652095
48	Man2a1	4.71007488540685
49	Cryab	4.69781377921243
50	Lmna	4.68688662000783
51	Zyx	4.67368450836601
52	H19	4.66730452067316
53	Selplg	4.66033695696153
54	Tinagl1	4.60826640300788
55	Itga5	4.59211607850026
56	Vat1	4.58637261399171
57	Btbd9	4.57062041273766
58	Emp3	4.55590290111063
59	N4bp3	4.54274398500806
60	Dbn1	4.52897106359317
61	Nr4a3	4.50851522171377
62	Rhog	4.50796243728314
63	Clic1	4.49463810801364
64	Endou	4.47610157457833
65	Ifrd1	4.46800150817249
66	Tnfaip2	4.44322730346635
67	Socs2	4.44098516610483
68	Tnfrsf12a	4.43238251883669
69	Tuba1a	4.42824436283782
70	Mxra7	4.41719440304795
71	Fblim1	4.40335221609486
72	S100a10	4.39425831975726
73	Actg1	4.39193734456893
74	Col4a2	4.38835136937542
75	Cp	4.38831898469151
76	Myl12a	4.37675917152196
77	Tubb6	4.37581088354883
78	Gja4	4.36996692967931
79	Sost	4.35994296917029
80	Akap12	4.35411849063643
81	Tubb5	4.30599895167474
82	Ankrd1	4.27978372081761
83	Lfng	4.27884923617559
84	Ilk	4.25750010299893
85	Cd109	4.25667284872973
86	Litaf	4.25651334867494
87	Cap1	4.25605954791108
88	Wdr1	4.25521984146971
89	Fhl3	4.25225320742855
90	Pno1	4.24335536831861
91	Lgals3	4.21388008174607
92	Tm6sf1	4.20959112099154
93	Scarb2	4.20486888113881
94	Lgals7	4.19434427316148
95	Gramd4	4.17807690450334
96	Cfl1	4.16859886103616
97	Cd44	4.16161451541864
98	Anxa5	4.15388468968186
99	Gprc5a	4.15346162871605
100	Actb	4.15290587901214
101	BC024063	4.14633181757807
102	Nkpd1	4.14539578834831
103	Cd68	4.12301648569526
104	P2rx1	4.12091182737547
105	Mlkl	4.10801479577942
106	Adam15	4.09050721888032
107	Rtn4rl1	4.07795027097559
108	Acot9	4.07363931944005
109	Pdpn	4.05680716573245
110	Stk40	4.05668790095719
111	Col4a1	4.0531021561887
112	Ifi35	4.04935301405019
113	Msn	4.04356540814783
114	Actn1	4.03239348042065
115	Myl12b	4.03100114802474
116	Phc2	4.02951462807589
117	Cltb	4.02019838633424
118	Serpinb6b	4.01633615324616
119	Plk2	4.01603149168156
120	Cnn2	4.00875133490803
121	Dnah8	3.99654645756597
122	Lrrc59	3.97360566543745
123	Prkca	3.97030940125494
124	Bok	3.95429557215958
125	Epha2	3.94675651129637
126	Sh3gl1	3.9440087125509
127	Fpgs	3.93730175584818
128	2610203C22Rik	3.91674546093404
129	Atf3	3.91090665713017
130	Sfxn3	3.91051544878467
131	Itgb1	3.9047266944251
132	Rtn4	3.89411639212272
133	Tpm2	3.8866433654984
134	St6galnac4	3.88106676324935
135	Ercc1	3.86484541393936
136	Nectin2	3.86418944687218
137	1810073O08Rik	3.8591884987436
138	Ppp1r14b	3.84920907466177
139	Capg	3.84580057279475
140	Polr1e	3.83629417321053
141	Jpt1	3.83608597571152
142	Ube2m	3.82632660582395
143	Arhgdia	3.81665678570153
144	Cdc42ep3	3.81244859322692
145	Ccn1	3.8080029878994
146	Ifit2	3.80307509376426
147	Cdsn	3.79935005377336
148	Vasp	3.79898863968872
149	Psmd8	3.79750685796971
150	Rin1	3.79428606117942
151	Fstl1	3.78799363165089
152	Pfn1	3.78652956115363
153	Ssu72	3.78335419808696
154	Lpcat2	3.78189304863515
155	H2-Ab1	3.770543395132
156	Rab32	3.76035216286867
157	Arsa	3.75832042231622
158	Ergic1	3.75791266272359
159	S100a4	3.7504453004999
160	Marcksl1	3.7408756762933
161	Fgf7	3.72899835858286
162	Vim	3.72597913683859
163	Mmp10	3.71781785705146
164	B3gnt3	3.71049359215185
165	Aif1l	3.71020568940792
166	AI839979	3.71014042075446
167	Morrbid	3.68755439667485
168	Ralb	3.68306762208146
169	Cerk	3.6825446336598
170	Cmtm3	3.68074397747706
171	Bcar1	3.6795775479711
172	Mrps18b	3.66572096712869
173	Chrm3	3.66472725112053
174	Pls3	3.66448815553631
175	Lgals9	3.66220386345962
176	Emp2	3.66212794644643
177	2200002D01Rik	3.65975278809808
178	Myadm	3.65937918296268
179	F2r	3.65522498147495
180	Bag5	3.65279565145533
181	Pym1	3.65099333305717
182	Bmper	3.64956755839372
183	Serpina1d	3.64671314063466
184	Cd151	3.63394426644526
185	Ppp1r11	3.63347747040399
186	Cyp1b1	3.63317656194839
187	Atf5	3.62782357250153
188	Creb3	3.62556145063201
189	Slc15a3	3.61802126873936
190	Ly6a	3.61609185440744
191	Arid5a	3.61441247333864
192	Mt2	3.61015973303547
193	Etfbkmt	3.5980631491614
194	Msr1	3.59591476501949
195	Acpp	3.59382964927833
196	Adamts9	3.58688720225384
197	Tgfb1i1	3.5867551604426
198	B2m	3.58339981382134
199	Tbrg1	3.58308017481376
200	Ecscr	3.58161828175371
201	Igfbp7	3.58119726386707
202	Kcnh1	3.58113160118272
203	Mx1	3.57626205783203
204	Lasp1	3.56889470612681
205	Fgd2	3.56777702252196
206	Rtl8a	3.56191614836112
207	Slfn2	3.55954198959696
208	Prr13	3.55702026292543
209	Emp1	3.55528414002421
210	Cdc42se1	3.55468537607969
