rank_position	gene	stat
1	Cdkn1a	19.4545012924105
2	Inka2	18.2221790449949
3	Psrc1	17.7491895282991
4	Ccng1	16.4389581022337
5	Eda2r	14.9022860140397
6	Phlda3	14.0859979944262
7	Col5a3	13.3453188004009
8	Gtse1	11.9936745544731
9	Aen	11.590912348577
10	Tnfrsf12a	11.3155996271226
11	Cox6b2	11.0332677505548
12	Arhgap20	10.0603720399282
13	Ly6c2	9.90972996101071
14	Ly6c1	9.87794381019702
15	Zfp365	9.68397978079081
16	Maff	9.48080306804974
17	Tmem178	9.4230774333347
18	Aldh1a1	9.29348598946477
19	Zmat3	9.2147196234524
20	Lpar1	9.02270636683542
21	P2rx5	9.01801962509191
22	Ly6a	8.95494941837908
23	Pamr1	8.88033615722098
24	Slc19a2	8.81776390445423
25	Serpina3h	8.76974861050182
26	Mybl1	8.71767111918754
27	Anxa3	8.61152265808202
28	Lgals1	8.53395117787257
29	Tnfsf15	8.46580115393022
30	Bbc3	8.44022834368492
31	Serpine1	8.40619162349555
32	Ddias	8.23103213332595
33	Gadd45b	8.18887408628106
34	Prrg4	8.13869209114977
35	Myl12a	7.86893116830456
36	Cdsn	7.80354981365936
37	Ulbp1	7.78058832462409
38	Arl4c	7.78043788056998
39	Mt2	7.74801418920795
40	Tent5b	7.74616399822777
41	2200002D01Rik	7.74518188938875
42	Serpina3i	7.74503331688025
43	Btbd19	7.72831261119975
44	Lif	7.69484677287904
45	Tagln	7.63181405448399
46	Gbp2b	7.57830615624221
47	Bax	7.57748749509449
48	Adamts9	7.53218505211163
49	Rps27l	7.52630451834075
50	Lgals3	7.47853967625591
51	Nrg1	7.46416459101414
52	Rrm1	7.45469040809364
53	Shisa4	7.43413070508802
54	Stx11	7.42842813024668
55	Ifrd1	7.38478688289247
56	Tagln2	7.36569848980481
57	Vim	7.28037586313466
58	Gbp2	7.19432274513618
59	Cxadr	7.16918741422298
60	Lfng	7.15898868115259
61	Syt12	7.15204002039611
62	Slco1a5	7.15111297890185
63	Tmbim1	7.10863179622314
